train-test,0(SM),1(SM),0(UM),1(UM),0(ALL),1(ALL)
EQ-JDT,1,3,26,17,1,0
EQ-LC,2,4,7,9,0,2
EQ-ML,51,11,53,61,37,15
EQ-PDE,0,10,30,34,0,7
JDT-EQ,0,32,15,22,0,8
JDT-LC,0,13,7,9,0,3
JDT-ML,90,29,53,61,41,55
JDT-PDE,0,75,30,34,0,25
LC-EQ,75,20,15,22,14,18
LC-JDT,0,33,26,17,0,17
LC-ML,82,5,53,61,33,45
LC-PDE,100,39,30,34,28,29
ML-EQ,64,20,15,22,15,15
ML-JDT,0,40,26,17,0,16
ML-LC,25,16,7,9,7,6
ML-PDE,88,33,30,34,26,21
PDE-EQ,0,61,15,22,0,14
PDE-JDT,18,24,26,17,10,16
PDE-LC,10,7,7,9,2,5
PDE-ML,56,50,53,61,30,43
