models,Source->Target,AUC,P,R,F1
SM1,JDT->EQ,0.655197774,0.703703704,0.441860465,0.542857143
SM1,LC->EQ,0.585171934,0.666666667,0.031007752,0.059259259
SM1,ML->EQ,0.68298549,0.85,0.263565891,0.402366864
SM1,PDE->EQ,0.525382628,0.645833333,0.240310078,0.350282486
SM1,EQ->JDT,0.671624342,0.295221843,0.839805825,0.436868687
SM1,LC->JDT,0.697666712,0.487603306,0.286407767,0.360856269
SM1,ML->JDT,0.636287482,0.590604027,0.427184466,0.495774648
SM1,PDE->JDT,0.528598431,0.374407583,0.383495146,0.378896882
SM1,EQ->LC,0.630681818,0.154676259,0.671875,0.251461988
SM1,JDT->LC,0.718214215,0.23,0.359375,0.280487805
SM1,ML->LC,0.481097986,0.382352941,0.203125,0.265306122
SM1,PDE->LC,0.625685307,0.285714286,0.4375,0.345679012
SM1,EQ->ML,0.538790655,0.14742268,0.583673469,0.235390947
SM1,JDT->ML,0.584077342,0.254071661,0.318367347,0.282608696
SM1,LC->ML,0.464190426,0.167741935,0.106122449,0.13
SM1,PDE->ML,0.466816857,0.200956938,0.171428571,0.185022026
SM1,EQ->PDE,0.610486196,0.180481283,0.645933014,0.282131661
SM1,JDT->PDE,0.571593881,0.288888889,0.248803828,0.267352185
SM1,LC->PDE,0.627297617,0.34,0.081339713,0.131274131
SM1,ML->PDE,0.613027133,0.441176471,0.215311005,0.289389068
SM2,JDT->EQ,0.589047903,0.723404255,0.263565891,0.386363636
SM2,LC->EQ,0.526714371,0.933333333,0.108527132,0.194444444
SM2,ML->EQ,0.606936991,0.761904762,0.124031008,0.213333333
SM2,PDE->EQ,0.533611608,0.6875,0.170542636,0.273291925
SM2,EQ->JDT,0.656248082,0.245657568,0.961165049,0.391304348
SM2,LC->JDT,0.72145987,0.540178571,0.587378641,0.562790698
SM2,ML->JDT,0.598409903,0.463541667,0.432038835,0.447236181
SM2,PDE->JDT,0.582699176,0.421052632,0.504854369,0.459161148
SM2,EQ->LC,0.681444378,0.155115512,0.734375,0.25613079
SM2,JDT->LC,0.481247508,0.173076923,0.28125,0.214285714
SM2,ML->LC,0.505046352,0.277777778,0.15625,0.2
SM2,PDE->LC,0.572704844,0.254716981,0.421875,0.317647059
SM2,EQ->ML,0.459552207,0.117083947,0.648979592,0.198378041
SM2,JDT->ML,0.546889554,0.425287356,0.151020408,0.222891566
SM2,LC->ML,0.627788926,0.404761905,0.13877551,0.20668693
SM2,PDE->ML,0.682648644,0.273255814,0.383673469,0.319185059
SM2,EQ->PDE,0.581012809,0.159450898,0.722488038,0.261245675
SM2,JDT->PDE,0.61858079,0.315789474,0.229665072,0.265927978
SM2,LC->PDE,0.530530253,0.6,0.071770335,0.128205128
SM2,ML->PDE,0.61469323,0.37254902,0.272727273,0.314917127
SM3,JDT->EQ,0.711747168,0.741573034,0.511627907,0.605504587
SM3,LC->EQ,0.671258199,0.814814815,0.170542636,0.282051282
SM3,ML->EQ,0.647247068,0.868421053,0.255813953,0.395209581
SM3,PDE->EQ,0.514112502,0.636363636,0.217054264,0.323699422
SM3,EQ->JDT,0.64779743,0.282229965,0.786407767,0.415384615
SM3,LC->JDT,0.594712359,0.590909091,0.126213592,0.208
SM3,ML->JDT,0.565892995,0.529411765,0.349514563,0.421052632
SM3,PDE->JDT,0.520964,0.333333333,0.286407767,0.308093995
SM3,EQ->LC,0.641198166,0.139880952,0.734375,0.235
SM3,JDT->LC,0.724992524,0.259541985,0.53125,0.348717949
SM3,ML->LC,0.622483054,0.266666667,0.1875,0.220183486
SM3,PDE->LC,0.492249801,0.22972973,0.265625,0.246376812
SM3,EQ->ML,0.466207262,0.121052632,0.657142857,0.204444444
SM3,JDT->ML,0.517963475,0.138413686,0.363265306,0.20045045
SM3,LC->ML,0.440343039,0.124352332,0.097959184,0.109589041
SM3,PDE->ML,0.495900698,0.271794872,0.216326531,0.240909091
SM3,EQ->PDE,0.571837202,0.158376963,0.578947368,0.248715313
SM3,JDT->PDE,0.611100999,0.205882353,0.401913876,0.272285251
SM3,LC->PDE,0.590962956,0.333333333,0.167464115,0.222929936
SM3,ML->PDE,0.587645621,0.315789474,0.28708134,0.30075188
SM4,JDT->EQ,0.699105546,0.857142857,0.139534884,0.24
SM4,LC->EQ,0.73138541,0.85,0.131782946,0.228187919
SM4,ML->EQ,0.53064997,1,0.085271318,0.157142857
SM4,PDE->EQ,0.613953488,0.708333333,0.131782946,0.222222222
SM4,EQ->JDT,0.745685687,0.269578313,0.868932039,0.411494253
SM4,LC->JDT,0.810265364,0.602870813,0.611650485,0.607228916
SM4,ML->JDT,0.770031176,0.580645161,0.087378641,0.151898734
SM4,PDE->JDT,0.774195132,0.460144928,0.616504854,0.526970954
SM4,EQ->LC,0.788551635,0.165137615,0.84375,0.276214834
SM4,JDT->LC,0.767170056,0.425,0.265625,0.326923077
SM4,ML->LC,0.740044358,0.6,0.09375,0.162162162
SM4,PDE->LC,0.725291567,0.461538462,0.375,0.413793103
SM4,EQ->ML,0.571317507,0.130087789,0.665306122,0.217623498
SM4,JDT->ML,0.577793344,0.381818182,0.257142857,0.307317073
SM4,LC->ML,0.590886373,0.265027322,0.395918367,0.317512275
SM4,PDE->ML,0.525355597,0.266423358,0.297959184,0.281310212
SM4,EQ->PDE,0.597911528,0.152842498,0.784688995,0.255850234
SM4,JDT->PDE,0.691320693,0.318584071,0.172248804,0.223602484
SM4,LC->PDE,0.691268686,0.65,0.124401914,0.208835341
SM4,ML->PDE,0.705470445,0.458333333,0.105263158,0.171206226
SM5,JDT->EQ,0.387497515,0.611111111,0.170542636,0.266666667
SM5,LC->EQ,0.591492745,0.736842105,0.108527132,0.189189189
SM5,ML->EQ,0.712403101,0.743589744,0.224806202,0.345238095
SM5,PDE->EQ,0.473623534,0.731707317,0.23255814,0.352941176
SM5,EQ->JDT,0.662007659,0.248110831,0.95631068,0.394
SM5,LC->JDT,0.672376125,0.491803279,0.145631068,0.224719101
SM5,ML->JDT,0.769147448,0.5,0.291262136,0.36809816
SM5,PDE->JDT,0.530040627,0.366812227,0.40776699,0.386206897
SM5,EQ->LC,0.628277014,0.127725857,0.640625,0.212987013
SM5,JDT->LC,0.576505183,0.120805369,0.5625,0.198895028
SM5,ML->LC,0.651303329,0.142857143,0.125,0.133333333
SM5,PDE->LC,0.645347388,0.16969697,0.4375,0.244541485
SM5,EQ->ML,0.531011069,0.136904762,0.563265306,0.220271349
SM5,JDT->ML,0.418863352,0.10828877,0.330612245,0.163141994
SM5,LC->ML,0.48566254,0.125977411,0.591836735,0.20773639
SM5,PDE->ML,0.543735565,0.176068376,0.420408163,0.248192771
SM5,EQ->PDE,0.573917501,0.15420023,0.641148325,0.248608534
SM5,JDT->PDE,0.580873503,0.260869565,0.200956938,0.227027027
SM5,LC->PDE,0.592668058,0.367741935,0.272727273,0.313186813
SM5,ML->PDE,0.627119305,0.316384181,0.267942584,0.29015544
SM6,JDT->EQ,0.5,0.398148148,1,0.569536424
SM6,LC->EQ,0.826734248,0.822222222,0.286821705,0.425287356
SM6,ML->EQ,0.824289406,0.816326531,0.310077519,0.449438202
SM6,PDE->EQ,0.5,0.398148148,1,0.569536424
SM6,EQ->JDT,0.649715243,0.27184466,0.951456311,0.422869471
SM6,LC->JDT,0.5,0.20661986,1,0.34247714
SM6,ML->JDT,0.5020068,0.207035176,1,0.34304746
SM6,PDE->JDT,0.716105336,0.315044248,0.86407767,0.461738003
SM6,EQ->LC,0.706588915,0.165079365,0.8125,0.274406332
SM6,JDT->LC,0.5,0.092619392,1,0.169536424
SM6,ML->LC,0.763992723,0.352272727,0.484375,0.407894737
SM6,PDE->LC,0.746486244,0.233695652,0.671875,0.346774194
SM6,EQ->ML,0.476959095,0.123726346,0.693877551,0.210006177
SM6,JDT->ML,0.632820921,0.25607064,0.473469388,0.332378223
SM6,LC->ML,0.500234751,0.131051753,0.640816327,0.217602218
SM6,PDE->ML,0.535110371,0.134037368,0.673469388,0.223577236
SM6,EQ->PDE,0.5,0.139612558,1,0.245017585
SM6,JDT->PDE,0.5,0.139612558,1,0.245017585
SM6,LC->PDE,0.715476314,0.316872428,0.368421053,0.340707965
SM6,ML->PDE,0.742306606,0.404040404,0.38277512,0.393120393
SM7,JDT->EQ,0.576386404,0.757575758,0.19379845,0.308641975
SM7,LC->EQ,0.580322004,0.717948718,0.217054264,0.333333333
