Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exits diversity
EQ-JDT,SM1,SM2,1.50E-06,172,1,26,7,Y
EQ-JDT,SM1,SM3,0.011616891,158,15,4,29,Y
EQ-JDT,SM1,SM4,0.303483664,159,14,20,13,N
EQ-JDT,SM1,SM5,2.52E-06,172,1,25,8,Y
EQ-JDT,SM1,SM6,4.22E-06,172,1,24,9,Y
EQ-JDT,SM1,SM7,5.31E-05,170,3,24,9,Y
EQ-JDT,SM1,SM8,0.023342202,165,8,20,13,Y
EQ-JDT,SM2,SM3,1.25E-08,160,38,2,6,Y
EQ-JDT,SM2,SM4,0.000255631,175,23,4,4,Y
EQ-JDT,SM2,SM5,0.317310508,197,1,0,8,N
EQ-JDT,SM2,SM6,0.617075077,189,9,7,1,N
EQ-JDT,SM2,SM7,0.285049407,189,9,5,3,N
EQ-JDT,SM2,SM8,0.00455635,181,17,4,4,Y
EQ-JDT,SM3,SM4,0.004059196,153,9,26,18,Y
EQ-JDT,SM3,SM5,2.09E-08,160,2,37,7,Y
EQ-JDT,SM3,SM6,1.46E-08,161,1,35,9,Y
EQ-JDT,SM3,SM7,4.07E-08,161,1,33,11,Y
EQ-JDT,SM3,SM8,3.61E-05,158,4,27,17,Y
EQ-JDT,SM4,SM5,0.000415418,175,4,22,5,Y
EQ-JDT,SM4,SM6,0.000207502,177,2,19,8,Y
EQ-JDT,SM4,SM7,0.000274727,178,1,16,11,Y
EQ-JDT,SM4,SM8,0.133614403,174,5,11,16,N
EQ-JDT,SM5,SM6,0.796253415,189,8,7,2,N
EQ-JDT,SM5,SM7,0.405380556,189,8,5,4,N
EQ-JDT,SM5,SM8,0.007290358,181,16,4,5,Y
EQ-JDT,SM6,SM7,0.527089257,190,6,4,6,N
EQ-JDT,SM6,SM8,0.007632882,182,14,3,7,Y
EQ-JDT,SM7,SM8,0.012554919,183,11,2,10,Y
EQ-LC,SM1,SM2,0.345778586,36,7,11,10,N
EQ-LC,SM1,SM3,0.345778586,36,7,11,10,N
EQ-LC,SM1,SM4,0.004508698,41,2,13,8,Y
EQ-LC,SM1,SM5,0.669815358,31,12,10,11,N
EQ-LC,SM1,SM6,0.038947456,38,5,14,7,Y
EQ-LC,SM1,SM7,0.059346439,38,5,13,8,N
EQ-LC,SM1,SM8,0.020136752,40,3,12,9,Y
EQ-LC,SM2,SM3,1,39,8,8,9,N
EQ-LC,SM2,SM4,0.070701145,43,4,11,6,N
EQ-LC,SM2,SM5,0.10880943,37,10,4,13,N
EQ-LC,SM2,SM6,0.196705602,42,5,10,7,N
EQ-LC,SM2,SM7,0.345778586,40,7,11,6,N
EQ-LC,SM2,SM8,0.165517859,43,4,9,8,N
EQ-LC,SM3,SM4,0.052203635,44,3,10,7,N
EQ-LC,SM3,SM5,0.133614403,36,11,5,12,N
EQ-LC,SM3,SM6,0.225252906,41,6,11,6,N
EQ-LC,SM3,SM7,0.285049407,42,5,9,8,N
EQ-LC,SM3,SM8,0.131668016,44,3,8,9,N
EQ-LC,SM4,SM5,0.00455635,37,17,4,6,Y
EQ-LC,SM4,SM6,0.527089257,48,6,4,6,N
EQ-LC,SM4,SM7,0.317310508,48,6,3,7,N
EQ-LC,SM4,SM8,0.479500122,49,5,3,7,N
EQ-LC,SM5,SM6,0.011616891,37,4,15,8,Y
EQ-LC,SM5,SM7,0.018422125,37,4,14,9,Y
EQ-LC,SM5,SM8,0.011616891,37,4,15,8,Y
EQ-LC,SM6,SM7,0.781511295,45,7,6,6,N
EQ-LC,SM6,SM8,1,47,5,5,7,N
EQ-LC,SM7,SM8,0.73888268,47,4,5,8,N
EQ-ML,SM1,SM2,0.000346619,141,2,18,84,Y
EQ-ML,SM1,SM3,0.000238563,140,3,21,81,Y
EQ-ML,SM1,SM4,0.000603644,136,7,27,75,Y
EQ-ML,SM1,SM5,0.522052724,110,33,28,74,N
EQ-ML,SM1,SM6,5.02E-06,139,4,31,71,Y
EQ-ML,SM1,SM7,9.49E-07,140,3,32,70,Y
EQ-ML,SM1,SM8,0.000385747,136,7,28,74,Y
EQ-ML,SM2,SM3,0.527089257,155,4,6,80,N
EQ-ML,SM2,SM4,0.345778586,152,7,11,75,N
EQ-ML,SM2,SM5,0.003275897,123,36,15,71,Y
EQ-ML,SM2,SM6,0.027806895,152,7,18,68,Y
EQ-ML,SM2,SM7,0.00671439,154,5,18,68,Y
EQ-ML,SM2,SM8,0.369171416,146,13,18,68,N
EQ-ML,SM3,SM4,0.705456986,148,13,15,69,N
EQ-ML,SM3,SM5,0.000793952,126,35,12,72,Y
EQ-ML,SM3,SM6,0.09467072,151,10,19,65,N
EQ-ML,SM3,SM7,0.021810119,155,6,17,67,Y
EQ-ML,SM3,SM8,0.590013887,147,14,17,67,N
EQ-ML,SM4,SM5,0.00163436,119,44,19,63,Y
EQ-ML,SM4,SM6,0.161513318,154,9,16,66,N
EQ-ML,SM4,SM7,0.071860638,155,8,17,65,N
EQ-ML,SM4,SM8,0.875896058,143,20,21,61,N
EQ-ML,SM5,SM6,8.18E-05,121,17,49,58,Y
EQ-ML,SM5,SM7,9.23E-07,131,7,41,66,Y
EQ-ML,SM5,SM8,0.000236034,126,12,38,69,Y
EQ-ML,SM6,SM7,0.72367361,155,15,17,58,N
EQ-ML,SM6,SM8,0.330390049,148,22,16,59,N
EQ-ML,SM7,SM8,0.130570018,154,18,10,63,N
EQ-PDE,SM1,SM2,0.000162441,134,1,17,57,Y
EQ-PDE,SM1,SM3,0.052203635,102,33,19,55,N
EQ-PDE,SM1,SM4,0.000688311,113,22,51,23,Y
EQ-PDE,SM1,SM5,0.890745801,108,27,26,48,N
EQ-PDE,SM1,SM6,7.81E-18,135,0,74,0,Y
EQ-PDE,SM1,SM7,3.43E-05,125,10,39,35,Y
EQ-PDE,SM1,SM8,7.75E-11,133,2,48,26,Y
EQ-PDE,SM2,SM3,3.67E-06,115,36,6,52,Y
EQ-PDE,SM2,SM4,0.090559093,128,23,36,22,N
EQ-PDE,SM2,SM5,0.011270105,120,31,14,44,Y
EQ-PDE,SM2,SM6,2.62E-14,151,0,58,0,Y
EQ-PDE,SM2,SM7,0.052632303,135,16,29,29,N
EQ-PDE,SM2,SM8,5.73E-07,148,3,33,25,Y
EQ-PDE,SM3,SM4,4.03E-06,99,22,65,23,Y
EQ-PDE,SM3,SM5,0.068703574,102,19,32,56,N
EQ-PDE,SM3,SM6,6.55E-21,121,0,88,0,Y
EQ-PDE,SM3,SM7,4.83E-07,106,15,58,30,Y
EQ-PDE,SM3,SM8,1.52E-13,118,3,63,25,Y
EQ-PDE,SM4,SM5,0.000487688,112,52,22,23,Y
EQ-PDE,SM4,SM6,1.97E-11,164,0,45,0,Y
EQ-PDE,SM4,SM7,1,132,32,32,13,N
EQ-PDE,SM4,SM8,0.013149117,149,15,32,13,Y
EQ-PDE,SM5,SM6,4.71E-18,134,0,75,0,Y
EQ-PDE,SM5,SM7,3.18E-05,123,11,41,34,Y
EQ-PDE,SM5,SM8,4.66E-11,132,2,49,26,Y
EQ-PDE,SM6,SM7,1.97E-11,164,45,0,0,Y
EQ-PDE,SM6,SM8,1.21E-07,181,28,0,0,Y
EQ-PDE,SM7,SM8,0.000673859,160,4,21,24,Y
JDT-EQ,SM1,SM2,0.001279028,20,37,14,58,Y
JDT-EQ,SM1,SM3,0.169911842,40,17,26,46,N
JDT-EQ,SM1,SM4,2.72E-09,16,41,2,70,Y
JDT-EQ,SM1,SM5,3.55E-06,11,46,11,61,Y
JDT-EQ,SM1,SM6,2.15E-17,57,0,72,0,Y
JDT-EQ,SM1,SM7,2.38E-06,18,39,7,65,Y
JDT-EQ,SM1,SM8,6.78E-08,15,42,5,67,Y
JDT-EQ,SM2,SM3,3.86E-06,26,8,40,55,Y
JDT-EQ,SM2,SM4,0.001090835,14,20,4,91,Y
JDT-EQ,SM2,SM5,0.045500264,10,24,12,83,Y
JDT-EQ,SM2,SM6,1.90E-22,34,0,95,0,Y
JDT-EQ,SM2,SM7,0.083264517,16,18,9,86,N
JDT-EQ,SM2,SM8,0.000465258,19,15,1,94,Y
JDT-EQ,SM3,SM4,6.49E-11,15,51,3,60,Y
JDT-EQ,SM3,SM5,2.30E-08,13,53,9,54,Y
JDT-EQ,SM3,SM6,2.07E-15,66,0,63,0,Y
JDT-EQ,SM3,SM7,1.78E-08,19,47,6,57,Y
JDT-EQ,SM3,SM8,7.75E-11,18,48,2,61,Y
JDT-EQ,SM4,SM5,0.414216178,8,10,14,97,N
JDT-EQ,SM4,SM6,5.92E-26,18,0,111,0,Y
JDT-EQ,SM4,SM7,0.070701145,14,4,11,100,N
JDT-EQ,SM4,SM8,0.479500122,15,3,5,106,N
JDT-EQ,SM5,SM6,4.45E-25,22,0,107,0,Y
JDT-EQ,SM5,SM7,0.590013887,8,14,17,90,N
JDT-EQ,SM5,SM8,0.669815358,10,12,10,97,N
JDT-EQ,SM6,SM7,2.02E-24,25,104,0,0,Y
JDT-EQ,SM6,SM8,1.62E-25,20,109,0,0,Y
JDT-EQ,SM7,SM8,0.225252906,14,11,6,98,N
JDT-LC,SM1,SM2,0.275233524,10,13,8,33,N
JDT-LC,SM1,SM3,0.016377308,18,5,16,25,Y
JDT-LC,SM1,SM4,0.220671362,8,15,9,32,N
JDT-LC,SM1,SM5,0.012354585,16,7,20,21,Y
JDT-LC,SM1,SM6,1.52E-10,23,0,41,0,Y
JDT-LC,SM1,SM7,0.049534613,8,15,6,35,Y
JDT-LC,SM1,SM8,0.021810119,6,17,6,35,Y
JDT-LC,SM2,SM3,0.001701872,13,5,21,25,Y
JDT-LC,SM2,SM4,0.796253415,10,8,7,39,N
JDT-LC,SM2,SM5,0.000238563,15,3,21,25,Y
JDT-LC,SM2,SM6,1.18E-11,18,0,46,0,Y
JDT-LC,SM2,SM7,0.345778586,7,11,7,39,N
JDT-LC,SM2,SM8,0.083264517,9,9,3,43,N
JDT-LC,SM3,SM4,0.000673859,13,21,4,26,Y
JDT-LC,SM3,SM5,0.654720846,25,9,11,19,N
JDT-LC,SM3,SM6,4.32E-08,34,0,30,0,Y
