Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exits diversity
EQ-JDT,SM1,UM1,0.002028231,142,31,11,22,Y
EQ-JDT,SM1,UM2,0.365712296,148,25,19,14,N
EQ-JDT,SM1,UM3,9.72E-06,135,38,8,25,Y
EQ-JDT,SM1,UM4,0.085812781,147,26,15,18,N
EQ-JDT,SM2,UM1,6.36E-10,149,49,4,4,Y
EQ-JDT,SM2,UM2,6.91E-07,163,35,4,4,Y
EQ-JDT,SM2,UM3,4.23E-12,139,59,4,4,Y
EQ-JDT,SM2,UM4,2.03E-07,156,42,6,2,Y
EQ-JDT,SM3,UM1,0.149541355,138,24,15,29,N
EQ-JDT,SM3,UM2,0.423339642,145,17,22,22,N
EQ-JDT,SM3,UM3,0.002346726,133,29,10,34,Y
EQ-JDT,SM3,UM4,1,143,19,19,25,N
EQ-JDT,SM4,UM1,2.47E-05,147,32,6,21,Y
EQ-JDT,SM4,UM2,0.033894854,157,22,10,17,Y
EQ-JDT,SM4,UM3,5.72E-08,139,40,4,23,Y
EQ-JDT,SM4,UM4,0.00226347,155,24,7,20,Y
EQ-JDT,SM5,UM1,1.05E-09,149,48,4,5,Y
EQ-JDT,SM5,UM2,2.10E-06,162,35,5,4,Y
EQ-JDT,SM5,UM3,6.98E-12,139,58,4,5,Y
EQ-JDT,SM5,UM4,5.73E-07,155,42,7,2,Y
EQ-JDT,SM6,UM1,1.45E-10,152,44,1,9,Y
EQ-JDT,SM6,UM2,1.86E-06,163,33,4,6,Y
EQ-JDT,SM6,UM3,3.34E-13,143,53,0,10,Y
EQ-JDT,SM6,UM4,3.48E-08,160,36,2,8,Y
EQ-JDT,SM7,UM1,1.52E-10,153,41,0,12,Y
EQ-JDT,SM7,UM2,2.60E-06,164,30,3,9,Y
EQ-JDT,SM7,UM3,9.24E-13,143,51,0,12,Y
EQ-JDT,SM7,UM4,4.20E-07,158,36,4,8,Y
EQ-JDT,SM8,UM1,1.54E-08,153,32,0,21,Y
EQ-JDT,SM8,UM2,0.000124236,165,20,2,19,Y
EQ-JDT,SM8,UM3,9.13E-11,143,42,0,21,Y
EQ-JDT,SM8,UM4,1.95E-05,159,26,3,18,Y
EQ-LC,SM1,UM1,1,30,13,13,8,N
EQ-LC,SM1,UM2,0.841480581,30,13,12,9,N
EQ-LC,SM1,UM3,0.531614577,33,10,13,8,N
EQ-LC,SM1,UM4,1,32,11,11,10,N
EQ-LC,SM2,UM1,0.285049407,38,9,5,12,N
EQ-LC,SM2,UM2,0.196705602,37,10,5,12,N
EQ-LC,SM2,UM3,0.808365156,38,9,8,9,N
EQ-LC,SM2,UM4,0.432767581,32,15,11,6,N
EQ-LC,SM3,UM1,0.393768635,34,13,9,8,N
EQ-LC,SM3,UM2,0.353160353,30,17,12,5,N
EQ-LC,SM3,UM3,0.818545808,37,10,9,8,N
EQ-LC,SM3,UM4,0.414216178,33,14,10,7,N
EQ-LC,SM4,UM1,0.007632882,40,14,3,7,Y
EQ-LC,SM4,UM2,0.002699796,40,14,2,8,Y
EQ-LC,SM4,UM3,0.011412036,45,9,1,9,Y
EQ-LC,SM4,UM4,0.027806895,36,18,7,3,Y
EQ-LC,SM5,UM1,0.617075077,34,7,9,14,N
EQ-LC,SM5,UM2,0.818545808,32,9,10,13,N
EQ-LC,SM5,UM3,0.225252906,35,6,11,12,N
EQ-LC,SM5,UM4,0.669815358,31,10,12,11,N
EQ-LC,SM6,UM1,0.020136752,40,12,3,9,Y
