DataSet,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exits diversity
EQ,UM1,UM2,0.001565402,82,0,10,37,Y
EQ,UM1,UM3,0.102470435,66,16,8,39,N
EQ,UM1,UM4,0.070546,69,13,24,23,N
EQ,UM2,UM3,0.001462717,67,25,7,30,Y
EQ,UM2,UM4,0.861804433,76,16,17,20,N
EQ,UM3,UM4,0.003761823,62,12,31,24,Y
JDT,UM1,UM2,0.000967428,151,2,16,37,Y
JDT,UM1,UM3,0.025347319,138,15,5,48,Y
JDT,UM1,UM4,0.071860638,145,8,17,36,N
JDT,UM2,UM3,2.21E-05,139,28,4,35,Y
JDT,UM2,UM4,0.335923813,151,16,11,28,N
JDT,UM3,UM4,0.001320044,135,8,27,36,Y
LC,UM1,UM2,0.705456986,39,4,3,18,N
LC,UM1,UM3,0.317310508,40,3,6,15,N
LC,UM1,UM4,1,33,10,10,11,N
LC,UM2,UM3,0.205903211,39,3,7,15,N
LC,UM2,UM4,0.841480581,30,12,13,9,N
LC,UM3,UM4,0.531614577,33,13,10,8,N
ML,UM1,UM2,0.06056886,104,16,7,118,N
ML,UM1,UM3,0.317310508,114,6,10,115,N
ML,UM1,UM4,1.77E-11,111,9,68,57,Y
ML,UM2,UM3,0.019550269,102,9,22,112,Y
ML,UM2,UM4,7.62E-13,100,11,79,55,Y
ML,UM3,UM4,2.14E-10,114,10,65,56,Y
PDE,UM1,UM2,0.29714653,124,9,14,62,N
PDE,UM1,UM3,0.834827329,121,12,11,65,N
PDE,UM1,UM4,1.14E-06,129,4,34,42,Y
PDE,UM2,UM3,0.317310508,117,21,15,56,N
PDE,UM2,UM4,0.000355039,126,12,37,34,Y
PDE,UM3,UM4,6.13E-06,124,8,39,38,Y
