train-test,0(SM),1(SM),0(UM),1(UM),0(ALL),1(ALL)
CM1-JM1,0,1,456,65,0,0
CM1-KC1,131,160,35,9,33,8
CM1-KC3,16,13,12,2,8,6
CM1-MC1,12,13,0,2,0,2
CM1-MC2,24,8,14,2,12,2
CM1-MW1,20,3,6,1,6,1
CM1-PC1,19,14,9,1,5,4
CM1-PC2,3,4,0,0,0,0
CM1-PC3,44,41,20,5,14,8
CM1-PC4,0,0,40,8,0,0
CM1-PC5,123,163,5,3,4,4
JM1-CM1,1,1,8,2,0,0
JM1-KC1,1,2,35,9,0,0
JM1-KC3,1,0,12,2,0,0
JM1-MC1,0,1,0,2,0,0
JM1-MC2,2,1,14,2,0,0
JM1-MW1,0,0,6,1,0,0
JM1-PC1,4,4,9,1,0,0
JM1-PC2,1,0,0,0,0,0
JM1-PC3,4,4,20,5,0,0
JM1-PC4,98,36,40,8,40,7
JM1-PC5,36,46,5,3,0,0
KC1-CM1,1,2,8,2,1,1
KC1-JM1,31,84,456,65,0,0
KC1-KC3,1,5,12,2,1,4
KC1-MC1,6,9,0,2,0,2
KC1-MC2,6,5,14,2,5,3
KC1-MW1,0,5,6,1,0,3
KC1-PC1,2,5,9,1,2,3
KC1-PC2,1,3,0,0,0,0
KC1-PC3,9,14,20,5,5,5
KC1-PC4,0,0,40,8,0,0
KC1-PC5,53,88,5,3,5,2
KC3-CM1,2,4,8,2,1,1
KC3-JM1,35,79,456,65,0,1
KC3-KC1,127,60,35,9,35,8
KC3-MC1,3,4,0,2,0,0
KC3-MC2,13,11,14,2,8,6
KC3-MW1,9,2,6,1,5,1
KC3-PC1,11,13,9,1,4,2
KC3-PC2,0,1,0,0,0,0
KC3-PC3,22,10,20,5,8,2
KC3-PC4,1,8,40,8,0,0
KC3-PC5,86,59,5,3,5,2
MC1-CM1,13,18,8,2,8,1
MC1-JM1,0,0,456,65,0,0
MC1-KC1,234,90,35,9,32,10
MC1-KC3,17,18,12,2,12,2
MC1-MC2,17,24,14,2,14,1
MC1-MW1,7,15,6,1,5,2
MC1-PC1,24,25,9,1,9,1
MC1-PC2,5,6,0,0,0,0
MC1-PC3,54,64,20,5,20,4
MC1-PC4,0,0,40,8,0,0
MC1-PC5,244,164,5,3,5,3
MC2-CM1,17,8,8,2,5,4
MC2-JM1,45,83,456,65,0,0
MC2-KC1,118,17,35,9,35,9
MC2-KC3,12,4,12,2,6,3
MC2-MC1,14,5,0,2,0,2
MC2-MW1,11,3,6,1,5,2
MC2-PC1,22,16,9,1,8,2
MC2-PC2,1,6,0,0,0,0
MC2-PC3,49,49,20,5,11,12
MC2-PC4,6,5,40,8,0,0
MC2-PC5,38,15,5,3,5,2
MW1-CM1,15,16,8,2,5,5
MW1-JM1,3,14,456,65,0,0
MW1-KC1,277,15,35,9,35,9
MW1-KC3,2,24,12,2,2,10
MW1-MC1,38,25,0,2,0,2
MW1-MC2,23,13,14,2,14,1
MW1-PC1,33,14,9,1,9,1
MW1-PC2,9,1,0,0,0,0
MW1-PC3,79,29,20,5,20,5
MW1-PC4,0,0,40,8,0,0
MW1-PC5,301,121,5,3,5,3
PC1-CM1,23,4,8,2,7,3
PC1-JM1,7,16,456,65,0,0
PC1-KC1,274,37,35,9,35,9
PC1-KC3,26,7,12,2,12,1
PC1-MC1,41,10,0,2,0,2
PC1-MC2,30,8,14,2,13,3
PC1-MW1,23,3,6,1,5,2
PC1-PC2,6,4,0,0,0,0
PC1-PC3,91,30,20,5,17,6
PC1-PC4,0,0,40,8,0,0
PC1-PC5,269,91,5,3,5,3
PC2-CM1,17,13,8,2,8,2
PC2-JM1,0,0,456,65,0,0
PC2-KC1,283,35,35,9,35,9
PC2-KC3,18,11,12,2,12,2
PC2-MC1,31,31,0,2,0,2
PC2-MC2,21,12,14,2,14,2
PC2-MW1,7,19,6,1,6,1
PC2-PC1,25,22,9,1,8,2
PC2-PC3,66,63,20,5,20,5
PC2-PC4,0,0,40,8,0,0
PC2-PC5,192,201,5,3,5,3
PC3-CM1,0,23,8,2,0,7
PC3-JM1,0,0,456,65,0,0
PC3-KC1,90,218,35,9,35,9
PC3-KC3,4,25,12,2,0,12
PC3-MC1,15,44,0,2,0,2
PC3-MC2,7,30,14,2,0,14
PC3-MW1,0,24,6,1,0,6
PC3-PC1,5,34,9,1,0,8
PC3-PC2,0,8,0,0,0,0
PC3-PC4,0,0,40,8,0,0
PC3-PC5,96,333,5,3,5,2
PC4-CM1,0,0,8,2,0,0
PC4-JM1,1124,377,456,65,431,71
PC4-KC1,0,0,35,9,0,0
PC4-KC3,0,0,12,2,0,0
PC4-MC1,0,5,0,2,0,0
PC4-MC2,0,1,14,2,0,0
PC4-MW1,0,0,6,1,0,0
PC4-PC1,0,2,9,1,0,0
PC4-PC2,1,4,0,0,0,0
PC4-PC3,0,1,20,5,0,0
PC4-PC5,3,17,5,3,0,0
PC5-CM1,7,9,8,2,3,3
PC5-JM1,7,10,456,65,0,0
PC5-KC1,141,83,35,9,35,9
PC5-KC3,5,9,12,2,5,4
PC5-MC1,37,6,0,2,0,2
PC5-MC2,16,9,14,2,10,6
PC5-MW1,3,6,6,1,2,4
PC5-PC1,10,13,9,1,6,2
PC5-PC2,3,2,0,0,0,0
PC5-PC3,24,40,20,5,9,8
PC5-PC4,0,2,40,8,0,0
