models,Source->Target,AUC,P,R,F1
SM1,JM1->CM1,0.375236518,0.099315068,0.69047619,0.173652695
SM1,KC1->CM1,0.674865973,0.133333333,0.142857143,0.137931034
SM1,KC3->CM1,0.42076632,0.118644068,0.333333333,0.175
SM1,MC1->CM1,0.5,,0,
SM1,MC2->CM1,0.51679281,0.2,0.285714286,0.235294118
SM1,MW1->CM1,0.463260801,0.3125,0.119047619,0.172413793
SM1,PC1->CM1,0.511904762,1,0.023809524,0.046511628
SM1,PC2->CM1,0.5,,0,
SM1,PC3->CM1,0.5,,0,
SM1,PC4->CM1,0.475402081,0.127329193,0.976190476,0.225274725
SM1,PC5->CM1,0.519157994,0,0,
SM1,CM1->JM1,0.44588355,0.151794374,0.533826038,0.236375079
SM1,KC1->JM1,0.370286522,0.170113493,0.766913019,0.278460109
SM1,KC3->JM1,0.490416731,0.160627568,0.733371234,0.263534219
SM1,MC1->JM1,0.497725981,0.183362869,1,0.309901339
SM1,MC2->JM1,0.40875131,0.14135218,0.602615122,0.228991143
SM1,MW1->JM1,0.479955887,0.171658225,0.886299034,0.287611844
SM1,PC1->JM1,0.481026714,0.178303581,0.959636157,0.300730447
SM1,PC2->JM1,0.5,0.183362869,1,0.309901339
SM1,PC3->JM1,0.5,0.183362869,1,0.309901339
SM1,PC4->JM1,0.500733127,0.283783784,0.011938601,0.022913257
SM1,PC5->JM1,0.501816871,0.181140397,0.980670836,0.305796845
SM1,CM1->KC1,0.671905486,0.25739645,0.535384615,0.347652348
SM1,JM1->KC1,0.431051557,0.150866463,0.910769231,0.258854394
SM1,KC3->KC1,0.668424619,0.339215686,0.532307692,0.414371257
SM1,MC1->KC1,0.5,,0,
SM1,MC2->KC1,0.706013986,0.353463588,0.612307692,0.448198198
SM1,MW1->KC1,0.650905616,0.568965517,0.101538462,0.17232376
SM1,PC1->KC1,0.504615385,1,0.009230769,0.018292683
SM1,PC2->KC1,0.5,,0,
SM1,PC3->KC1,0.5,,0,
SM1,PC4->KC1,0.496226382,0.155279503,1,0.268817204
SM1,PC5->KC1,0.491095861,0.3125,0.046153846,0.080428954
SM1,CM1->KC3,0.480775745,0.192982456,0.305555556,0.23655914
SM1,JM1->KC3,0.560721545,0.181818182,0.888888889,0.301886792
SM1,KC1->KC3,0.630420054,0.25,0.194444444,0.21875
SM1,MC1->KC3,0.5,,0,
SM1,MC2->KC3,0.574695122,0.342857143,0.333333333,0.338028169
SM1,MW1->KC3,0.58299458,0.533333333,0.222222222,0.31372549
SM1,PC1->KC3,0.49695122,,0,
SM1,PC2->KC3,0.5,,0,
SM1,PC3->KC3,0.5,,0,
SM1,PC4->KC3,0.52972561,0.180904523,1,0.306382979
SM1,PC5->KC3,0.429539295,,0,
SM1,CM1->MC1,0.711655158,0.015073948,0.779411765,0.029575893
SM1,JM1->MC1,0.2696475,0.002148228,0.205882353,0.004252088
SM1,KC1->MC1,0.730042701,0.009727626,0.441176471,0.019035533
SM1,KC3->MC1,0.482047613,0.024267782,0.426470588,0.045922407
SM1,MC2->MC1,0.719053611,0.022411475,0.735294118,0.043497173
SM1,MW1->MC1,0.438163114,0,0,
SM1,PC1->MC1,0.52523746,0.051282051,0.058823529,0.054794521
SM1,PC2->MC1,0.5,,0,
SM1,PC3->MC1,0.5,,0,
SM1,PC4->MC1,0.160802572,0.005828659,0.779411765,0.011570789
SM1,PC5->MC1,0.481998908,0.01994302,0.102941176,0.033412888
SM1,CM1->MC2,0.536007667,0.375,0.136363636,0.2
SM1,JM1->MC2,0.480147864,0.327433628,0.840909091,0.47133758
SM1,KC1->MC2,0.654299014,0.55,0.25,0.34375
SM1,KC3->MC2,0.471796276,0.36,0.204545455,0.260869565
SM1,MC1->MC2,0.5,,0,
SM1,MW1->MC2,0.596933187,0.727272727,0.181818182,0.290909091
SM1,PC1->MC2,0.5,,0,
SM1,PC2->MC2,0.5,,0,
SM1,PC3->MC2,0.5,,0,
SM1,PC4->MC2,0.652656079,0.358974359,0.954545455,0.52173913
SM1,PC5->MC2,0.48288609,1,0.045454545,0.086956522
SM1,CM1->MW1,0.625644632,0.1875,0.111111111,0.139534884
SM1,JM1->MW1,0.404907017,0.088983051,0.777777778,0.159695817
SM1,KC1->MW1,0.692295671,0.08,0.074074074,0.076923077
SM1,KC3->MW1,0.659087357,0.333333333,0.333333333,0.333333333
SM1,MC1->MW1,0.5,,0,
SM1,MC2->MW1,0.668229411,0.254901961,0.481481481,0.333333333
SM1,PC1->MW1,0.5,,0,
SM1,PC2->MW1,0.5,,0,
SM1,PC3->MW1,0.5,,0,
SM1,PC4->MW1,0.522190967,0.103448276,1,0.1875
SM1,PC5->MW1,0.486716674,,0,
SM1,CM1->PC1,0.590081732,0.13,0.639344262,0.216066482
SM1,JM1->PC1,0.284806708,0.059097978,0.62295082,0.107954545
SM1,KC1->PC1,0.688536333,0.115107914,0.262295082,0.16
SM1,KC3->PC1,0.459861901,0.113207547,0.393442623,0.175824176
SM1,MC1->PC1,0.5,,0,
SM1,MC2->PC1,0.456867396,0.152380952,0.262295082,0.192771084
SM1,MW1->PC1,0.563824041,0.188235294,0.262295082,0.219178082
SM1,PC2->PC1,0.5,,0,
SM1,PC3->PC1,0.5,,0,
SM1,PC4->PC1,0.399584292,0.069958848,0.836065574,0.129113924
SM1,PC5->PC1,0.510204801,0.6,0.098360656,0.169014085
SM1,CM1->PC2,0.710922562,0.02955665,0.75,0.056872038
SM1,JM1->PC2,0.386850701,0.005633803,0.5,0.011142061
SM1,KC1->PC2,0.763563576,0.021978022,0.5,0.042105263
SM1,KC3->PC2,0.357233907,0.012861736,0.25,0.024464832
SM1,MC1->PC2,0.530612651,,0,
SM1,MC2->PC2,0.445267686,0.02764977,0.375,0.051502146
SM1,MW1->PC2,0.377469726,0,0,
SM1,PC1->PC2,0.552740599,0.095238095,0.125,0.108108108
SM1,PC3->PC2,0.5,,0,
SM1,PC4->PC2,0.372709528,0.006044325,0.5625,0.011960133
SM1,PC5->PC2,0.444670172,0.038461538,0.0625,0.047619048
SM1,CM1->PC3,0.600772299,0.189189189,0.6,0.287671233
SM1,JM1->PC3,0.32768673,0.097916667,0.671428571,0.170909091
SM1,KC1->PC3,0.702559826,0.210300429,0.35,0.262734584
SM1,KC3->PC3,0.545293691,0.185446009,0.564285714,0.279151943
SM1,MC1->PC3,0.499492386,,0,
SM1,MC2->PC3,0.39004351,0.161073826,0.171428571,0.166089965
SM1,MW1->PC3,0.549985497,0.325301205,0.192857143,0.242152466
SM1,PC1->PC3,0.545329949,0.3,0.021428571,0.04
SM1,PC2->PC3,0.5,,0,
SM1,PC4->PC3,0.622102973,0.119360902,0.907142857,0.210963455
SM1,PC5->PC3,0.468741842,0.333333333,0.028571429,0.052631579
SM1,CM1->PC4,0.60742254,0.121212121,0.786516854,0.210052513
