Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
CM1-JM1,SM1,SM2,4.88E-168,930,9,790,30,Y
CM1-JM1,SM1,SM3,5.83E-120,932,7,563,257,Y
CM1-JM1,SM1,SM4,2.96E-164,938,1,749,71,Y
CM1-JM1,SM1,SM5,5.96E-167,930,9,785,35,Y
CM1-JM1,SM1,SM6,7.30E-171,930,9,803,17,Y
CM1-JM1,SM1,SM7,4.69E-174,935,4,803,17,Y
CM1-JM1,SM1,SM8,3.27E-176,939,0,801,19,Y
CM1-JM1,SM2,SM3,6.20E-42,1470,250,25,14,Y
CM1-JM1,SM2,SM4,0.000245733,1663,57,24,15,Y
CM1-JM1,SM2,SM5,0.025347319,1715,5,0,39,Y
CM1-JM1,SM2,SM6,0.090559093,1697,23,36,3,N
CM1-JM1,SM2,SM7,0.014305878,1702,18,36,3,Y
CM1-JM1,SM2,SM8,0.006495586,1703,17,37,2,Y
CM1-JM1,SM3,SM4,5.38E-38,1480,15,207,57,Y
CM1-JM1,SM3,SM5,7.03E-41,1470,25,245,19,Y
CM1-JM1,SM3,SM6,1.39E-48,1482,13,251,13,Y
CM1-JM1,SM3,SM7,1.08E-52,1490,5,248,16,Y
CM1-JM1,SM3,SM8,3.20E-55,1495,0,245,19,Y
CM1-JM1,SM4,SM5,0.001745119,1661,26,54,18,Y
CM1-JM1,SM4,SM6,2.09E-06,1663,24,70,2,Y
CM1-JM1,SM4,SM7,2.17E-08,1671,16,67,5,Y
CM1-JM1,SM4,SM8,5.53E-10,1677,10,63,9,Y
CM1-JM1,SM5,SM6,0.024448945,1692,23,41,3,Y
CM1-JM1,SM5,SM7,0.001581524,1700,15,38,6,Y
CM1-JM1,SM5,SM8,0.000594713,1701,14,39,5,Y
CM1-JM1,SM6,SM7,0.423339642,1716,17,22,4,N
CM1-JM1,SM6,SM8,0.274298827,1716,17,24,2,N
CM1-JM1,SM7,SM8,0.715000655,1724,14,16,5,N
CM1-KC1,SM1,SM2,9.90E-40,0,174,0,151,Y
CM1-KC1,SM1,SM3,2.38E-21,34,140,20,131,Y
CM1-KC1,SM1,SM4,1.22E-38,5,169,0,151,Y
CM1-KC1,SM1,SM5,9.90E-40,0,174,0,151,Y
CM1-KC1,SM1,SM6,9.90E-40,0,174,0,151,Y
CM1-KC1,SM1,SM7,1.64E-39,1,173,0,151,Y
CM1-KC1,SM1,SM8,9.90E-40,0,174,0,151,Y
CM1-KC1,SM2,SM3,2.00E-13,0,0,54,271,Y
CM1-KC1,SM2,SM4,0.025347319,0,0,5,320,Y
CM1-KC1,SM2,SM5,,0,0,0,325,N
CM1-KC1,SM2,SM6,,0,0,0,325,N
CM1-KC1,SM2,SM7,0.317310508,0,0,1,324,N
CM1-KC1,SM2,SM8,,0,0,0,325,N
CM1-KC1,SM3,SM4,2.56E-12,5,49,0,271,Y
CM1-KC1,SM3,SM5,2.00E-13,0,54,0,271,Y
CM1-KC1,SM3,SM6,2.00E-13,0,54,0,271,Y
CM1-KC1,SM3,SM7,3.34E-13,1,53,0,271,Y
CM1-KC1,SM3,SM8,2.00E-13,0,54,0,271,Y
CM1-KC1,SM4,SM5,0.025347319,0,5,0,320,Y
CM1-KC1,SM4,SM6,0.025347319,0,5,0,320,Y
CM1-KC1,SM4,SM7,0.102470435,0,5,1,319,N
CM1-KC1,SM4,SM8,0.025347319,0,5,0,320,Y
CM1-KC1,SM5,SM6,,0,0,0,325,N
CM1-KC1,SM5,SM7,0.317310508,0,0,1,324,N
CM1-KC1,SM5,SM8,,0,0,0,325,N
CM1-KC1,SM6,SM7,0.317310508,0,0,1,324,N
CM1-KC1,SM6,SM8,,0,0,0,325,N
CM1-KC1,SM7,SM8,0.317310508,0,1,0,324,N
CM1-KC3,SM1,SM2,0.000911119,0,11,0,25,Y
CM1-KC3,SM1,SM3,0.285049407,2,9,5,20,N
CM1-KC3,SM1,SM4,0.001565402,1,10,0,25,Y
CM1-KC3,SM1,SM5,0.000911119,0,11,0,25,Y
CM1-KC3,SM1,SM6,0.563702862,4,7,5,20,N
CM1-KC3,SM1,SM7,0.000911119,0,11,0,25,Y
