Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
CM1-JM1,SM1,UM1,1.10E-18,531,408,702,118,Y
CM1-JM1,SM1,UM2,2.00E-20,537,402,711,109,Y
CM1-JM1,SM1,UM3,0.082125619,430,509,566,254,N
CM1-JM1,SM1,UM4,9.78E-21,543,396,706,114,Y
CM1-JM1,SM2,UM1,2.74E-93,1194,526,39,0,Y
CM1-JM1,SM2,UM2,4.36E-90,1209,511,39,0,Y
CM1-JM1,SM2,UM3,3.71E-144,957,763,39,0,Y
CM1-JM1,SM2,UM4,7.12E-90,1210,510,39,0,Y
CM1-JM1,SM3,UM1,7.32E-21,973,522,260,4,Y
CM1-JM1,SM3,UM2,4.25E-19,989,506,259,5,Y
CM1-JM1,SM3,UM3,4.86E-56,745,750,251,13,Y
CM1-JM1,SM3,UM4,6.20E-19,989,506,260,4,Y
CM1-JM1,SM4,UM1,1.06E-77,1164,523,69,3,Y
CM1-JM1,SM4,UM2,1.29E-74,1179,508,69,3,Y
CM1-JM1,SM4,UM3,3.44E-128,930,757,66,6,Y
CM1-JM1,SM4,UM4,3.69E-74,1179,508,70,2,Y
CM1-JM1,SM5,UM1,1.23E-90,1189,526,44,0,Y
CM1-JM1,SM5,UM2,1.88E-87,1204,511,44,0,Y
CM1-JM1,SM5,UM3,2.48E-141,952,763,44,0,Y
CM1-JM1,SM5,UM4,3.07E-87,1205,510,44,0,Y
CM1-JM1,SM6,UM1,1.69E-100,1207,526,26,0,Y
CM1-JM1,SM6,UM2,2.90E-97,1222,511,26,0,Y
CM1-JM1,SM6,UM3,9.82E-152,970,763,26,0,Y
CM1-JM1,SM6,UM4,4.76E-97,1223,510,26,0,Y
CM1-JM1,SM7,UM1,2.12E-103,1212,526,21,0,Y
CM1-JM1,SM7,UM2,3.73E-100,1227,511,21,0,Y
CM1-JM1,SM7,UM3,9.69E-155,975,763,21,0,Y
CM1-JM1,SM7,UM4,6.14E-100,1228,510,21,0,Y
CM1-JM1,SM8,UM1,1.40E-104,1214,526,19,0,Y
CM1-JM1,SM8,UM2,2.48E-101,1229,511,19,0,Y
CM1-JM1,SM8,UM3,5.88E-156,977,763,19,0,Y
CM1-JM1,SM8,UM4,4.09E-101,1230,510,19,0,Y
CM1-KC1,SM1,UM1,1.70E-22,168,6,112,39,Y
CM1-KC1,SM1,UM2,1.73E-24,171,3,113,38,Y
CM1-KC1,SM1,UM3,0.000509057,122,52,94,57,Y
CM1-KC1,SM1,UM4,1.75E-21,165,9,115,36,Y
CM1-KC1,SM2,UM1,7.51E-63,0,0,280,45,Y
CM1-KC1,SM2,UM2,1.01E-63,0,0,284,41,Y
CM1-KC1,SM2,UM3,6.74E-49,0,0,216,109,Y
CM1-KC1,SM2,UM4,7.51E-63,0,0,280,45,Y
CM1-KC1,SM3,UM1,4.44E-51,54,0,226,45,Y
CM1-KC1,SM3,UM2,5.96E-52,54,0,230,41,Y
CM1-KC1,SM3,UM3,1.14E-34,48,6,168,103,Y
CM1-KC1,SM3,UM4,4.44E-51,54,0,226,45,Y
CM1-KC1,SM4,UM1,9.23E-62,5,0,275,45,Y
CM1-KC1,SM4,UM2,1.24E-62,5,0,279,41,Y
CM1-KC1,SM4,UM3,8.31E-48,5,0,211,109,Y
CM1-KC1,SM4,UM4,9.23E-62,5,0,275,45,Y
CM1-KC1,SM5,UM1,7.51E-63,0,0,280,45,Y
CM1-KC1,SM5,UM2,1.01E-63,0,0,284,41,Y
CM1-KC1,SM5,UM3,6.74E-49,0,0,216,109,Y
CM1-KC1,SM5,UM4,7.51E-63,0,0,280,45,Y
CM1-KC1,SM6,UM1,7.51E-63,0,0,280,45,Y
CM1-KC1,SM6,UM2,1.01E-63,0,0,284,41,Y
CM1-KC1,SM6,UM3,6.74E-49,0,0,216,109,Y
CM1-KC1,SM6,UM4,7.51E-63,0,0,280,45,Y
CM1-KC1,SM7,UM1,1.24E-62,1,0,279,45,Y
CM1-KC1,SM7,UM2,1.67E-63,1,0,283,41,Y
CM1-KC1,SM7,UM3,1.11E-48,1,0,215,109,Y
CM1-KC1,SM7,UM4,1.24E-62,1,0,279,45,Y
CM1-KC1,SM8,UM1,7.51E-63,0,0,280,45,Y
CM1-KC1,SM8,UM2,1.01E-63,0,0,284,41,Y
CM1-KC1,SM8,UM3,6.74E-49,0,0,216,109,Y
CM1-KC1,SM8,UM4,7.51E-63,0,0,280,45,Y
CM1-KC3,SM1,UM1,0.004508698,9,2,13,12,Y
CM1-KC3,SM1,UM2,0.004508698,9,2,13,12,Y
CM1-KC3,SM1,UM3,0.052203635,8,3,10,15,N
CM1-KC3,SM1,UM4,0.002699796,9,2,14,11,Y
CM1-KC3,SM2,UM1,2.73E-06,0,0,22,14,Y
CM1-KC3,SM2,UM2,2.73E-06,0,0,22,14,Y
CM1-KC3,SM2,UM3,2.21E-05,0,0,18,18,Y
CM1-KC3,SM2,UM4,1.62E-06,0,0,23,13,Y
CM1-KC3,SM3,UM1,0.000579063,5,2,17,12,Y
CM1-KC3,SM3,UM2,0.000579063,5,2,17,12,Y
CM1-KC3,SM3,UM3,0.007632882,4,3,14,15,Y
CM1-KC3,SM3,UM4,0.000346619,5,2,18,11,Y
CM1-KC3,SM4,UM1,4.59E-06,1,0,21,14,Y
CM1-KC3,SM4,UM2,4.59E-06,1,0,21,14,Y
CM1-KC3,SM4,UM3,3.74E-05,1,0,17,18,Y
CM1-KC3,SM4,UM4,2.73E-06,1,0,22,13,Y
CM1-KC3,SM5,UM1,2.73E-06,0,0,22,14,Y
CM1-KC3,SM5,UM2,2.73E-06,0,0,22,14,Y
CM1-KC3,SM5,UM3,2.21E-05,0,0,18,18,Y
CM1-KC3,SM5,UM4,1.62E-06,0,0,23,13,Y
CM1-KC3,SM6,UM1,0.000311491,9,0,13,14,Y
CM1-KC3,SM6,UM2,0.000311491,9,0,13,14,Y
CM1-KC3,SM6,UM3,0.002699796,9,0,9,18,Y
CM1-KC3,SM6,UM4,0.000182811,9,0,14,13,Y
CM1-KC3,SM7,UM1,2.73E-06,0,0,22,14,Y
CM1-KC3,SM7,UM2,2.73E-06,0,0,22,14,Y
CM1-KC3,SM7,UM3,2.21E-05,0,0,18,18,Y
CM1-KC3,SM7,UM4,1.62E-06,0,0,23,13,Y
CM1-KC3,SM8,UM1,2.73E-06,0,0,22,14,Y
CM1-KC3,SM8,UM2,2.73E-06,0,0,22,14,Y
CM1-KC3,SM8,UM3,2.21E-05,0,0,18,18,Y
