train-test,0(SM),1(SM),0(UM),1(UM),0(ALL),1(ALL)
ant-1.7-camel-1.6,102,16,43,22,42,22
ant-1.7-ivy-2.0,8,7,5,2,0,0
ant-1.7-jedit-4.0,27,3,8,7,8,6
ant-1.7-log4j-1.2,4,11,63,32,0,0
ant-1.7-lucene-2.4,8,13,51,25,0,0
ant-1.7-poi-3.0,11,11,33,75,0,0
ant-1.7-prop-6,0,0,14,4,0,0
ant-1.7-tomcat,10,9,7,3,6,3
ant-1.7-xalan-2.7,55,47,220,232,0,0
camel-1.6-ant-1.7,40,41,16,8,13,5
camel-1.6-ivy-2.0,2,2,5,2,0,0
camel-1.6-jedit-4.0,15,14,8,7,4,4
camel-1.6-log4j-1.2,0,5,63,32,0,0
camel-1.6-lucene-2.4,3,5,51,25,0,0
camel-1.6-poi-3.0,4,6,33,75,0,0
camel-1.6-prop-6,0,1,14,4,0,0
camel-1.6-tomcat,16,5,7,3,6,3
camel-1.6-xalan-2.7,19,21,220,232,0,0
ivy-2.0-ant-1.7,5,4,16,8,0,0
ivy-2.0-camel-1.6,0,1,43,22,0,0
ivy-2.0-jedit-4.0,3,2,8,7,0,0
ivy-2.0-log4j-1.2,156,17,63,32,62,32
ivy-2.0-lucene-2.4,146,26,51,25,50,25
ivy-2.0-poi-3.0,157,84,33,75,13,83
ivy-2.0-prop-6,38,8,14,4,14,4
ivy-2.0-tomcat,0,8,7,3,0,0
ivy-2.0-xalan-2.7,625,173,220,232,218,188
jedit-4.0-ant-1.7,35,21,16,8,12,10
jedit-4.0-camel-1.6,73,32,43,22,33,22
jedit-4.0-ivy-2.0,2,7,5,2,0,0
jedit-4.0-log4j-1.2,1,2,63,32,0,0
jedit-4.0-lucene-2.4,2,4,51,25,0,0
jedit-4.0-poi-3.0,4,5,33,75,0,0
jedit-4.0-prop-6,0,0,14,4,0,0
jedit-4.0-tomcat,15,7,7,3,5,5
jedit-4.0-xalan-2.7,24,28,220,232,0,0
log4j-1.2-ant-1.7,126,33,16,8,2,13
log4j-1.2-camel-1.6,126,47,43,22,15,28
log4j-1.2-ivy-2.0,0,0,5,2,0,0
log4j-1.2-jedit-4.0,65,7,8,7,3,10
log4j-1.2-lucene-2.4,0,0,51,25,0,0
log4j-1.2-poi-3.0,0,0,33,75,0,0
log4j-1.2-prop-6,0,2,14,4,0,2
log4j-1.2-tomcat,33,39,7,3,2,4
log4j-1.2-xalan-2.7,0,1,220,232,0,1
lucene-2.4-ant-1.7,94,22,16,8,0,2
lucene-2.4-camel-1.6,50,29,43,22,1,3
lucene-2.4-ivy-2.0,0,0,5,2,0,0
lucene-2.4-jedit-4.0,27,15,8,7,0,0
lucene-2.4-log4j-1.2,5,30,63,32,5,23
lucene-2.4-poi-3.0,6,9,33,75,5,7
lucene-2.4-prop-6,1,1,14,4,0,0
lucene-2.4-tomcat,34,15,7,3,0,0
lucene-2.4-xalan-2.7,56,97,220,232,46,64
poi-3.0-ant-1.7,74,51,16,8,0,1
poi-3.0-camel-1.6,32,39,43,22,0,1
poi-3.0-ivy-2.0,0,2,5,2,0,2
poi-3.0-jedit-4.0,20,28,8,7,0,0
poi-3.0-log4j-1.2,24,14,63,32,16,14
poi-3.0-lucene-2.4,11,13,51,25,8,10
poi-3.0-prop-6,3,3,14,4,3,1
poi-3.0-tomcat,38,10,7,3,0,0
poi-3.0-xalan-2.7,52,66,220,232,42,54
prop-6-ant-1.7,0,0,16,8,0,0
prop-6-camel-1.6,0,0,43,22,0,0
prop-6-ivy-2.0,10,25,5,2,3,2
prop-6-jedit-4.0,0,0,8,7,0,0
prop-6-log4j-1.2,80,91,63,32,34,47
prop-6-lucene-2.4,73,91,51,25,16,38
prop-6-poi-3.0,173,59,33,75,31,75
prop-6-tomcat,0,0,7,3,0,0
prop-6-xalan-2.7,348,441,220,232,110,231
tomcat-ant-1.7,84,25,16,8,16,8
tomcat-camel-1.6,136,24,43,22,43,21
tomcat-ivy-2.0,3,1,5,2,0,0
tomcat-jedit-4.0,35,9,8,7,8,7
tomcat-log4j-1.2,0,1,63,32,0,0
tomcat-lucene-2.4,1,2,51,25,0,0
tomcat-poi-3.0,4,1,33,75,0,0
tomcat-prop-6,0,0,14,4,0,0
tomcat-xalan-2.7,4,3,220,232,0,0
xalan-2.7-ant-1.7,147,19,16,8,7,13
xalan-2.7-camel-1.6,114,74,43,22,4,43
xalan-2.7-ivy-2.0,0,0,5,2,0,0
xalan-2.7-jedit-4.0,66,9,8,7,3,8
xalan-2.7-log4j-1.2,0,0,63,32,0,0
xalan-2.7-lucene-2.4,0,0,51,25,0,0
xalan-2.7-poi-3.0,0,0,33,75,0,0
xalan-2.7-prop-6,0,0,14,4,0,0
xalan-2.7-tomcat,67,10,7,3,3,6
