models,Source->Target,AUC,P,R,F1
SM1,camel-1.6->ant-1.7,0.573652121,0.459459459,0.307228916,0.368231047
SM1,ivy-2.0->ant-1.7,0.315567971,0.210013908,0.909638554,0.341242938
SM1,jedit-4.0->ant-1.7,0.681357555,0.385416667,0.445783133,0.413407821
SM1,log4j-1.2->ant-1.7,0.609546996,0.086956522,0.012048193,0.021164021
SM1,lucene-2.4->ant-1.7,0.325358429,0.084507042,0.144578313,0.106666667
SM1,poi-3.0->ant-1.7,0.317014171,0.047826087,0.06626506,0.055555556
SM1,prop-6->ant-1.7,0.344632416,0.194233687,0.771084337,0.31030303
SM1,tomcat->ant-1.7,0.474363776,0.69047619,0.174698795,0.278846154
SM1,xalan-2.7->ant-1.7,0.487561646,0,0,
SM1,ant-1.7->camel-1.6,0.560410334,0.254295533,0.393617021,0.308977035
SM1,ivy-2.0->camel-1.6,0.438593609,0.19092827,0.962765957,0.318661972
SM1,jedit-4.0->camel-1.6,0.58123511,0.25210084,0.319148936,0.281690141
SM1,log4j-1.2->camel-1.6,0.561245516,0.076923077,0.005319149,0.009950249
SM1,lucene-2.4->camel-1.6,0.543747775,0.182186235,0.239361702,0.206896552
SM1,poi-3.0->camel-1.6,0.45723459,0.154666667,0.308510638,0.206039076
SM1,prop-6->camel-1.6,0.445374326,0.19047619,0.872340426,0.312678742
SM1,tomcat->camel-1.6,0.517241025,0.368421053,0.074468085,0.123893805
SM1,xalan-2.7->camel-1.6,0.487129987,,0,
SM1,ant-1.7->ivy-2.0,0.219991987,0.033195021,0.2,0.056939502
SM1,camel-1.6->ivy-2.0,0.463100962,0.091836735,0.675,0.161676647
SM1,jedit-4.0->ivy-2.0,0.427884615,0.097826087,0.675,0.170886076
SM1,log4j-1.2->ivy-2.0,0.441746795,0.124223602,1,0.220994475
SM1,lucene-2.4->ivy-2.0,0.4515625,0.118577075,0.75,0.204778157
SM1,poi-3.0->ivy-2.0,0.628125,0.14,0.875,0.24137931
SM1,prop-6->ivy-2.0,0.595152244,0.236842105,0.225,0.230769231
SM1,tomcat->ivy-2.0,0.461899038,0.096774194,0.825,0.173228346
SM1,xalan-2.7->ivy-2.0,0.503205128,0.113960114,1,0.204603581
SM1,ant-1.7->jedit-4.0,0.651139971,0.442105263,0.56,0.494117647
SM1,camel-1.6->jedit-4.0,0.566233766,0.549019608,0.373333333,0.444444444
SM1,ivy-2.0->jedit-4.0,0.372092352,0.227891156,0.893333333,0.363143631
SM1,log4j-1.2->jedit-4.0,0.60989899,0,0,
SM1,lucene-2.4->jedit-4.0,0.335844156,0.144,0.24,0.18
SM1,poi-3.0->jedit-4.0,0.484184704,0.162162162,0.16,0.161073826
SM1,prop-6->jedit-4.0,0.372034632,0.212686567,0.76,0.332361516
SM1,tomcat->jedit-4.0,0.561645022,0.826086957,0.253333333,0.387755102
SM1,xalan-2.7->jedit-4.0,0.5,,0,
SM1,ant-1.7->log4j-1.2,0.494874339,0.920245399,0.793650794,0.852272727
SM1,camel-1.6->log4j-1.2,0.543650794,0.919075145,0.841269841,0.878453039
SM1,ivy-2.0->log4j-1.2,0.511904762,1,0.021164021,0.041450777
SM1,jedit-4.0->log4j-1.2,0.559689153,0.931506849,0.71957672,0.811940299
