Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ant-1.7-camel-1.6,SM1,SM2,1.52E-13,11,63,3,111,Y
ant-1.7-camel-1.6,SM1,SM3,0.003892417,63,11,1,113,Y
ant-1.7-camel-1.6,SM1,SM4,5.20E-12,18,56,3,111,Y
ant-1.7-camel-1.6,SM1,SM5,7.54E-09,35,39,2,112,Y
ant-1.7-camel-1.6,SM1,SM6,1.11E-07,33,41,5,109,Y
ant-1.7-camel-1.6,SM1,SM7,1.43E-11,20,54,3,111,Y
ant-1.7-camel-1.6,SM1,SM8,2.07E-15,11,63,0,114,Y
ant-1.7-camel-1.6,SM2,SM3,2.36E-11,11,3,53,121,Y
ant-1.7-camel-1.6,SM2,SM4,0.144399792,6,8,15,159,N
ant-1.7-camel-1.6,SM2,SM5,6.23E-05,9,5,28,146,Y
ant-1.7-camel-1.6,SM2,SM6,2.21E-05,10,4,28,146,Y
ant-1.7-camel-1.6,SM2,SM7,0.083264517,5,9,18,156,N
ant-1.7-camel-1.6,SM2,SM8,0.405380556,6,8,5,169,N
ant-1.7-camel-1.6,SM3,SM4,8.11E-10,18,46,3,121,Y
ant-1.7-camel-1.6,SM3,SM5,2.60E-06,34,30,3,121,Y
ant-1.7-camel-1.6,SM3,SM6,6.02E-05,30,34,8,116,Y
ant-1.7-camel-1.6,SM3,SM7,2.23E-09,20,44,3,121,Y
ant-1.7-camel-1.6,SM3,SM8,8.90E-13,10,54,1,123,Y
ant-1.7-camel-1.6,SM4,SM5,0.007660761,11,10,26,141,Y
ant-1.7-camel-1.6,SM4,SM6,0.003083186,13,8,25,142,Y
ant-1.7-camel-1.6,SM4,SM7,0.72367361,6,15,17,150,N
ant-1.7-camel-1.6,SM4,SM8,0.033006258,5,16,6,161,Y
ant-1.7-camel-1.6,SM5,SM6,0.834827329,26,11,12,139,N
ant-1.7-camel-1.6,SM5,SM7,0.008150972,16,21,7,144,Y
ant-1.7-camel-1.6,SM5,SM8,8.94E-07,10,27,1,150,Y
ant-1.7-camel-1.6,SM6,SM7,0.003892417,17,21,6,144,Y
ant-1.7-camel-1.6,SM6,SM8,2.03E-07,11,27,0,150,Y
ant-1.7-camel-1.6,SM7,SM8,0.007290358,7,16,4,161,Y
ant-1.7-ivy-2.0,SM1,SM2,0.000311491,8,0,13,19,Y
ant-1.7-ivy-2.0,SM1,SM3,0.045500264,8,0,4,28,Y
ant-1.7-ivy-2.0,SM1,SM4,0.006655605,7,1,10,22,Y
ant-1.7-ivy-2.0,SM1,SM5,0.004677735,8,0,8,24,Y
ant-1.7-ivy-2.0,SM1,SM6,0.000532006,8,0,12,20,Y
ant-1.7-ivy-2.0,SM1,SM7,6.33E-05,8,0,16,16,Y
ant-1.7-ivy-2.0,SM1,SM8,0.000911119,8,0,11,21,Y
ant-1.7-ivy-2.0,SM2,SM3,0.006655605,11,10,1,18,Y
ant-1.7-ivy-2.0,SM2,SM4,0.248213079,13,8,4,15,N
ant-1.7-ivy-2.0,SM2,SM5,0.095580705,14,7,2,17,N
ant-1.7-ivy-2.0,SM2,SM6,0.763024601,15,6,5,14,N
ant-1.7-ivy-2.0,SM2,SM7,0.466854271,14,7,10,9,N
ant-1.7-ivy-2.0,SM2,SM8,0.479500122,16,5,3,16,N
ant-1.7-ivy-2.0,SM3,SM4,0.131668016,9,3,8,20,N
ant-1.7-ivy-2.0,SM3,SM5,0.045500264,12,0,4,24,Y
ant-1.7-ivy-2.0,SM3,SM6,0.004677735,12,0,8,20,Y
ant-1.7-ivy-2.0,SM3,SM7,0.000532006,12,0,12,16,Y
ant-1.7-ivy-2.0,SM3,SM8,0.019630657,11,1,8,20,Y
ant-1.7-ivy-2.0,SM4,SM5,0.781511295,10,7,6,17,N
ant-1.7-ivy-2.0,SM4,SM6,0.317310508,14,3,6,17,N
ant-1.7-ivy-2.0,SM4,SM7,0.052203635,14,3,10,13,N
ant-1.7-ivy-2.0,SM4,SM8,0.527089257,13,4,6,17,N
ant-1.7-ivy-2.0,SM5,SM6,0.102470435,15,1,5,19,N
ant-1.7-ivy-2.0,SM5,SM7,0.011412036,15,1,9,15,Y
ant-1.7-ivy-2.0,SM5,SM8,0.256839258,14,2,5,19,N
ant-1.7-ivy-2.0,SM6,SM7,0.157299207,18,2,6,14,N
ant-1.7-ivy-2.0,SM6,SM8,0.563702862,18,2,1,19,N
ant-1.7-ivy-2.0,SM7,SM8,0.131668016,16,8,3,13,N
ant-1.7-jedit-4.0,SM1,SM2,0.004508698,29,13,2,31,Y
ant-1.7-jedit-4.0,SM1,SM3,0.000911119,31,11,0,33,Y
ant-1.7-jedit-4.0,SM1,SM4,0.018422125,28,14,4,29,Y
