Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ant-1.7-camel-1.6,SM1,UM1,6.33E-05,68,6,30,84,Y
ant-1.7-camel-1.6,SM1,UM2,1.45E-10,73,1,44,70,Y
ant-1.7-camel-1.6,SM1,UM3,1.14E-12,71,3,59,55,Y
ant-1.7-camel-1.6,SM1,UM4,2.42E-10,73,1,43,71,Y
ant-1.7-camel-1.6,SM2,UM1,4.95E-20,14,0,84,90,Y
ant-1.7-camel-1.6,SM2,UM2,3.35E-24,14,0,103,71,Y
ant-1.7-camel-1.6,SM2,UM3,4.75E-27,14,0,116,58,Y
ant-1.7-camel-1.6,SM2,UM4,5.55E-24,14,0,102,72,Y
ant-1.7-camel-1.6,SM3,UM1,1.55E-07,60,4,38,86,Y
ant-1.7-camel-1.6,SM3,UM2,3.34E-13,64,0,53,71,Y
ant-1.7-camel-1.6,SM3,UM3,3.06E-15,62,2,68,56,Y
ant-1.7-camel-1.6,SM3,UM4,5.55E-13,64,0,52,72,Y
ant-1.7-camel-1.6,SM4,UM1,1.17E-17,19,2,79,88,Y
ant-1.7-camel-1.6,SM4,UM2,3.09E-22,20,1,97,70,Y
ant-1.7-camel-1.6,SM4,UM3,1.62E-25,21,0,109,58,Y
ant-1.7-camel-1.6,SM4,UM4,5.12E-22,20,1,96,71,Y
ant-1.7-camel-1.6,SM5,UM1,5.71E-15,37,0,61,90,Y
ant-1.7-camel-1.6,SM5,UM2,3.74E-19,37,0,80,71,Y
ant-1.7-camel-1.6,SM5,UM3,5.23E-22,37,0,93,58,Y
ant-1.7-camel-1.6,SM5,UM4,6.21E-19,37,0,79,72,Y
ant-1.7-camel-1.6,SM6,UM1,7.43E-13,33,5,65,85,Y
ant-1.7-camel-1.6,SM6,UM2,4.27E-18,36,2,81,69,Y
ant-1.7-camel-1.6,SM6,UM3,2.33E-21,37,1,93,57,Y
ant-1.7-camel-1.6,SM6,UM4,4.07E-17,34,4,82,68,Y
ant-1.7-camel-1.6,SM7,UM1,4.71E-18,23,0,75,90,Y
ant-1.7-camel-1.6,SM7,UM2,3.16E-22,23,0,94,71,Y
ant-1.7-camel-1.6,SM7,UM3,4.45E-25,23,0,107,58,Y
ant-1.7-camel-1.6,SM7,UM4,5.23E-22,23,0,93,72,Y
ant-1.7-camel-1.6,SM8,UM1,1.09E-20,11,0,87,90,Y
ant-1.7-camel-1.6,SM8,UM2,7.37E-25,11,0,106,71,Y
ant-1.7-camel-1.6,SM8,UM3,1.05E-27,11,0,119,58,Y
ant-1.7-camel-1.6,SM8,UM4,1.22E-24,11,0,105,72,Y
ant-1.7-ivy-2.0,SM1,UM1,0.00094141,1,7,26,6,Y
ant-1.7-ivy-2.0,SM1,UM2,0.00094141,1,7,26,6,Y
ant-1.7-ivy-2.0,SM1,UM3,3.96E-05,2,6,31,1,Y
ant-1.7-ivy-2.0,SM1,UM4,9.05E-06,3,5,32,0,Y
ant-1.7-ivy-2.0,SM2,UM1,0.239316541,11,10,16,3,N
ant-1.7-ivy-2.0,SM2,UM2,0.239316541,11,10,16,3,N
ant-1.7-ivy-2.0,SM2,UM3,0.01860293,14,7,19,0,Y
ant-1.7-ivy-2.0,SM2,UM4,0.004266725,16,5,19,0,Y
ant-1.7-ivy-2.0,SM3,UM1,0.011229887,2,10,25,3,Y
ant-1.7-ivy-2.0,SM3,UM2,0.009023439,3,9,24,4,Y
ant-1.7-ivy-2.0,SM3,UM3,0.000385747,5,7,28,0,Y
ant-1.7-ivy-2.0,SM3,UM4,6.23E-05,7,5,28,0,Y
ant-1.7-ivy-2.0,SM4,UM1,0.058781721,8,9,19,4,N
ant-1.7-ivy-2.0,SM4,UM2,0.058781721,8,9,19,4,N
ant-1.7-ivy-2.0,SM4,UM3,0.002496909,11,6,22,1,Y
ant-1.7-ivy-2.0,SM4,UM4,0.000669729,12,5,23,0,Y
ant-1.7-ivy-2.0,SM5,UM1,0.048193488,6,10,21,3,Y
ant-1.7-ivy-2.0,SM5,UM2,0.048193488,6,10,21,3,Y
ant-1.7-ivy-2.0,SM5,UM3,0.00226347,9,7,24,0,Y
ant-1.7-ivy-2.0,SM5,UM4,0.000418378,11,5,24,0,Y
ant-1.7-ivy-2.0,SM6,UM1,0.208667788,8,12,19,1,N
ant-1.7-ivy-2.0,SM6,UM2,0.208667788,8,12,19,1,N
ant-1.7-ivy-2.0,SM6,UM3,0.012354585,13,7,20,0,Y
ant-1.7-ivy-2.0,SM6,UM4,0.002699796,15,5,20,0,Y
ant-1.7-ivy-2.0,SM7,UM1,0.563702862,12,12,15,1,N
ant-1.7-ivy-2.0,SM7,UM2,0.563702862,12,12,15,1,N
ant-1.7-ivy-2.0,SM7,UM3,0.06056886,17,7,16,0,N
ant-1.7-ivy-2.0,SM7,UM4,0.016377308,19,5,16,0,Y
ant-1.7-ivy-2.0,SM8,UM1,0.144127035,8,11,19,2,N
ant-1.7-ivy-2.0,SM8,UM2,0.144127035,8,11,19,2,N
ant-1.7-ivy-2.0,SM8,UM3,0.008150972,12,7,21,0,Y
ant-1.7-ivy-2.0,SM8,UM4,0.001701872,14,5,21,0,Y
ant-1.7-jedit-4.0,SM1,UM1,0.032509445,39,3,11,22,Y
ant-1.7-jedit-4.0,SM1,UM2,2.21E-05,42,0,18,15,Y
ant-1.7-jedit-4.0,SM1,UM3,1.62E-06,42,0,23,10,Y
ant-1.7-jedit-4.0,SM1,UM4,0.000182811,42,0,14,19,Y
ant-1.7-jedit-4.0,SM2,UM1,7.44E-05,29,2,21,23,Y
ant-1.7-jedit-4.0,SM2,UM2,7.24E-08,31,0,29,15,Y
ant-1.7-jedit-4.0,SM2,UM3,5.51E-09,31,0,34,10,Y
ant-1.7-jedit-4.0,SM2,UM4,5.73E-07,31,0,25,19,Y
ant-1.7-jedit-4.0,SM3,UM1,7.44E-05,29,2,21,23,Y
ant-1.7-jedit-4.0,SM3,UM2,7.24E-08,31,0,29,15,Y
ant-1.7-jedit-4.0,SM3,UM3,5.51E-09,31,0,34,10,Y
ant-1.7-jedit-4.0,SM3,UM4,5.73E-07,31,0,25,19,Y
ant-1.7-jedit-4.0,SM4,UM1,0.000415418,28,4,22,21,Y
ant-1.7-jedit-4.0,SM4,UM2,1.21E-07,32,0,28,15,Y
ant-1.7-jedit-4.0,SM4,UM3,2.43E-08,31,1,34,9,Y
ant-1.7-jedit-4.0,SM4,UM4,2.52E-06,31,1,25,18,Y
ant-1.7-jedit-4.0,SM5,UM1,0.012419331,37,3,13,22,Y
ant-1.7-jedit-4.0,SM5,UM2,7.74E-06,40,0,20,15,Y
ant-1.7-jedit-4.0,SM5,UM3,5.73E-07,40,0,25,10,Y
ant-1.7-jedit-4.0,SM5,UM4,6.33E-05,40,0,16,19,Y
ant-1.7-jedit-4.0,SM6,UM1,0.003892417,39,1,11,24,Y
ant-1.7-jedit-4.0,SM6,UM2,7.74E-06,40,0,20,15,Y
