DataSet,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ant-1.7,UM1,UM2,0.070701145,129,4,11,22,N
ant-1.7,UM1,UM3,0.059346439,120,13,5,28,N
ant-1.7,UM1,UM4,0.025347319,128,5,15,18,Y
ant-1.7,UM2,UM3,0.001063115,122,18,3,23,Y
ant-1.7,UM2,UM4,0.317310508,137,3,6,20,N
ant-1.7,UM3,UM4,0.000669729,120,5,23,18,Y
camel-1.6,UM1,UM2,0.000643698,92,6,25,65,Y
camel-1.6,UM1,UM3,7.90E-07,93,5,37,53,Y
camel-1.6,UM1,UM4,0.000669729,93,5,23,67,Y
camel-1.6,UM2,UM3,0.032582798,105,12,25,46,Y
camel-1.6,UM2,UM4,0.808365156,108,9,8,63,N
camel-1.6,UM3,UM4,0.016351222,106,24,10,48,Y
ivy-2.0,UM1,UM2,1,24,3,3,10,N
ivy-2.0,UM1,UM3,0.014305878,27,0,6,7,Y
ivy-2.0,UM1,UM4,0.004677735,27,0,8,5,Y
ivy-2.0,UM2,UM3,0.014305878,27,0,6,7,Y
ivy-2.0,UM2,UM4,0.004677735,27,0,8,5,Y
ivy-2.0,UM3,UM4,0.157299207,33,0,2,5,N
jedit-4.0,UM1,UM2,0.001565402,50,0,10,15,Y
jedit-4.0,UM1,UM3,0.000107511,50,0,15,10,Y
jedit-4.0,UM1,UM4,0.057779571,48,2,8,17,N
jedit-4.0,UM2,UM3,0.095580705,58,2,7,8,N
jedit-4.0,UM2,UM4,0.157299207,54,6,2,13,N
jedit-4.0,UM3,UM4,0.002699796,56,9,0,10,Y
log4j-1.2,UM1,UM2,0.411079779,64,16,21,88,N
log4j-1.2,UM1,UM3,0.002699796,75,5,20,89,Y
log4j-1.2,UM1,UM4,0.032582798,68,12,25,84,Y
log4j-1.2,UM2,UM3,0.086347821,73,12,22,82,N
log4j-1.2,UM2,UM4,0.293510595,60,25,33,71,N
log4j-1.2,UM3,UM4,0.751829634,74,21,19,75,N
lucene-2.4,UM1,UM2,2.47E-05,88,6,32,77,Y
lucene-2.4,UM1,UM3,2.34E-05,85,9,38,71,Y
lucene-2.4,UM1,UM4,0.002281937,79,15,37,72,Y
lucene-2.4,UM2,UM3,0.647314784,100,20,23,60,N
lucene-2.4,UM2,UM4,0.479500122,102,18,14,69,N
lucene-2.4,UM3,UM4,0.33628879,93,30,23,57,N
poi-3.0,UM1,UM2,3.86E-05,142,5,29,105,Y
poi-3.0,UM1,UM3,6.46E-11,132,15,78,56,Y
poi-3.0,UM1,UM4,2.09E-07,144,3,35,99,Y
poi-3.0,UM2,UM3,5.25E-05,144,27,66,44,Y
poi-3.0,UM2,UM4,0.07363827,165,6,14,96,N
poi-3.0,UM3,UM4,0.001470045,147,63,32,39,Y
prop-6,UM1,UM2,0.179712495,47,4,1,14,N
prop-6,UM1,UM3,0.033894854,44,7,1,14,Y
prop-6,UM1,UM4,0.179712495,47,4,1,14,N
prop-6,UM2,UM3,0.083264517,45,3,0,18,N
prop-6,UM2,UM4,,48,0,0,18,N
prop-6,UM3,UM4,0.083264517,45,0,3,18,N
tomcat,UM1,UM2,0.637351888,47,8,10,12,N
tomcat,UM1,UM3,0.029049022,51,4,13,9,Y
tomcat,UM1,UM4,0.000532006,55,0,12,10,Y
tomcat,UM2,UM3,0.019630657,56,1,8,12,Y
tomcat,UM2,UM4,0.007526315,55,2,12,8,Y
tomcat,UM3,UM4,0.256839258,62,2,5,8,N
xalan-2.7,UM1,UM2,4.92E-14,318,32,127,421,Y
xalan-2.7,UM1,UM3,2.26E-19,315,35,161,387,Y
xalan-2.7,UM1,UM4,1.77E-09,255,95,198,350,Y
xalan-2.7,UM2,UM3,0.010562873,387,58,89,364,Y
xalan-2.7,UM2,UM4,0.631363842,310,135,143,310,N
xalan-2.7,UM3,UM4,0.202022532,302,174,151,271,N
