models,Source->Target,AUC,P,R,F1
SM1,ar3->ar1,0.55109127,0.5,0.111111111,0.181818182
SM1,ar4->ar1,0.591765873,0.16,0.444444444,0.235294118
SM1,ar5->ar1,0.382440476,0.056074766,0.666666667,0.103448276
SM1,ar6->ar1,0.642857143,0.272727273,0.333333333,0.3
SM1,ar1->ar3,0.585227273,0.375,0.375,0.375
SM1,ar4->ar3,0.834090909,0.461538462,0.75,0.571428571
SM1,ar5->ar3,0.206818182,0.041666667,0.25,0.071428571
SM1,ar6->ar3,0.847727273,0.666666667,0.75,0.705882353
SM1,ar1->ar4,0.54454023,0.75,0.15,0.25
SM1,ar3->ar4,0.544252874,0.666666667,0.1,0.173913043
SM1,ar5->ar4,0.336494253,0.132653061,0.65,0.220338983
SM1,ar6->ar4,0.65862069,0.727272727,0.4,0.516129032
SM1,ar1->ar5,0.223214286,0.103448276,0.375,0.162162162
SM1,ar3->ar5,0.392857143,0.181818182,0.75,0.292682927
SM1,ar4->ar5,0.104910714,0.041666667,0.125,0.0625
SM1,ar6->ar5,0.348214286,0.161290323,0.625,0.256410256
SM1,ar1->ar6,0.560465116,0.6,0.2,0.3
SM1,ar3->ar6,0.5,,0,
SM1,ar4->ar6,0.594186047,0.230769231,0.4,0.292682927
SM1,ar5->ar6,0.363953488,0.107142857,0.6,0.181818182
SM2,ar3->ar1,0.5,,0,
SM2,ar4->ar1,0.334821429,0,0,
SM2,ar5->ar1,0.5,0.074380165,1,0.138461538
SM2,ar6->ar1,0.696428571,0.333333333,0.444444444,0.380952381
SM2,ar1->ar3,0.5,,0,
SM2,ar4->ar3,0.768181818,0.333333333,0.75,0.461538462
SM2,ar5->ar3,0.215909091,0.042553191,0.25,0.072727273
SM2,ar6->ar3,0.809090909,0.318181818,0.875,0.466666667
SM2,ar1->ar4,0.593103448,0.6,0.45,0.514285714
SM2,ar3->ar4,0.544252874,0.666666667,0.1,0.173913043
SM2,ar5->ar4,0.336494253,0.132653061,0.65,0.220338983
SM2,ar6->ar4,0.685057471,0.526315789,0.5,0.512820513
SM2,ar1->ar5,0.1875,0.04,0.125,0.060606061
SM2,ar3->ar5,0.330357143,0.15625,0.625,0.25
SM2,ar4->ar5,0.133928571,0.04,0.125,0.060606061
SM2,ar6->ar5,0.125,0,0,
SM2,ar1->ar6,0.560465116,0.6,0.2,0.3
SM2,ar3->ar6,0.5,,0,
SM2,ar4->ar6,0.585271318,0.3,0.2,0.24
SM2,ar5->ar6,0.385658915,0.114942529,0.666666667,0.196078431
SM3,ar3->ar1,0.630952381,0.272727273,0.333333333,0.3
SM3,ar4->ar1,0.68452381,0.161290323,0.555555556,0.25
SM3,ar5->ar1,0.384920635,0.053763441,0.555555556,0.098039216
SM3,ar6->ar1,0.510416667,0.105263158,0.444444444,0.170212766
SM3,ar1->ar3,0.704545455,0.444444444,0.5,0.470588235
SM3,ar4->ar3,0.840909091,0.5,0.75,0.6
SM3,ar5->ar3,0.206818182,0.041666667,0.25,0.071428571
SM3,ar6->ar3,0.443181818,0.2,0.375,0.260869565
SM3,ar1->ar4,0.594252874,0.8,0.2,0.32
SM3,ar3->ar4,0.657758621,0.7,0.35,0.466666667
SM3,ar5->ar4,0.307471264,0.114942529,0.5,0.186915888
SM3,ar6->ar4,0.485057471,0.242424242,0.4,0.301886792
SM3,ar1->ar5,0.223214286,0.103448276,0.375,0.162162162
SM3,ar3->ar5,0.330357143,0.15625,0.625,0.25
SM3,ar4->ar5,0.415178571,0.142857143,0.5,0.222222222
SM3,ar6->ar5,0.245535714,0.076923077,0.25,0.117647059
SM3,ar1->ar6,0.560465116,0.6,0.2,0.3
SM3,ar3->ar6,0.637596899,0.5,0.333333333,0.4
SM3,ar4->ar6,0.562790698,0.206896552,0.4,0.272727273
SM3,ar5->ar6,0.359689922,0.102564103,0.533333333,0.172043011
SM4,ar3->ar1,0.685515873,,0,
SM4,ar4->ar1,0.652777778,0,0,
SM4,ar5->ar1,0.329365079,0.061403509,0.777777778,0.113821138
SM4,ar6->ar1,0.5625,0.25,0.333333333,0.285714286
SM4,ar1->ar3,0.765909091,0.4,0.75,0.52173913
SM4,ar4->ar3,0.829545455,0.428571429,0.375,0.4
SM4,ar5->ar3,0.173863636,0.044444444,0.25,0.075471698
SM4,ar6->ar3,0.747727273,0.3125,0.625,0.416666667
SM4,ar1->ar4,0.761781609,0.545454545,0.6,0.571428571
SM4,ar3->ar4,0.76091954,0.6,0.15,0.24
SM4,ar5->ar4,0.193965517,0.11827957,0.55,0.194690265
SM4,ar6->ar4,0.760344828,0.344827586,0.5,0.408163265
SM4,ar1->ar5,0.09375,0.074074074,0.25,0.114285714
SM4,ar3->ar5,0.162946429,0.2,0.875,0.325581395
SM4,ar4->ar5,0.058035714,0.068965517,0.25,0.108108108
SM4,ar6->ar5,0.142857143,0.05,0.125,0.071428571
SM4,ar1->ar6,0.524031008,0.75,0.2,0.315789474
SM4,ar3->ar6,0.629457364,,0,
SM4,ar4->ar6,0.606976744,0.333333333,0.2,0.25
SM4,ar5->ar6,0.275193798,0.129032258,0.8,0.222222222
SM5,ar3->ar1,0.5,,0,
SM5,ar4->ar1,0.649305556,0.333333333,0.333333333,0.333333333
SM5,ar5->ar1,0.322420635,0.046728972,0.555555556,0.086206897
SM5,ar6->ar1,0.668650794,0.25,0.222222222,0.235294118
SM5,ar1->ar3,0.6625,0.3125,0.625,0.416666667
SM5,ar4->ar3,0.8,0.352941176,0.75,0.48
SM5,ar5->ar3,0.215909091,0.042553191,0.25,0.072727273
SM5,ar6->ar3,0.809090909,0.318181818,0.875,0.466666667
SM5,ar1->ar4,0.649425287,0,0,
SM5,ar3->ar4,0.488505747,0,0,
SM5,ar5->ar4,0.336494253,0.132653061,0.65,0.220338983
SM5,ar6->ar4,0.685057471,0.526315789,0.5,0.512820513
SM5,ar1->ar5,0.1875,0.04,0.125,0.060606061
SM5,ar3->ar5,0.330357143,0.15625,0.625,0.25
SM5,ar4->ar5,0.178571429,0.074074074,0.25,0.114285714
SM5,ar6->ar5,0.232142857,0,0,
SM5,ar1->ar6,0.560465116,0.6,0.2,0.3
SM5,ar3->ar6,0.5,,0,
SM5,ar4->ar6,0.580232558,0.428571429,0.2,0.272727273
SM5,ar5->ar6,0.385658915,0.114942529,0.666666667,0.196078431
SM6,ar3->ar1,0.711805556,,0,
SM6,ar4->ar1,0.767857143,0.5,0.111111111,0.181818182
SM6,ar5->ar1,0.5,0.074380165,1,0.138461538
SM6,ar6->ar1,0.517857143,0.075,1,0.139534884
SM6,ar1->ar3,0.673863636,0.214285714,0.75,0.333333333
SM6,ar4->ar3,0.781818182,0.260869565,0.75,0.387096774
SM6,ar5->ar3,0.142045455,0.041666667,0.25,0.071428571
SM6,ar6->ar3,0.518181818,0.129032258,1,0.228571429
SM6,ar1->ar4,0.81408046,0.363636364,0.8,0.5
SM6,ar3->ar4,0.810057471,0.583333333,0.35,0.4375
SM6,ar5->ar4,0.480747126,0.180952381,0.95,0.304
SM6,ar6->ar4,0.771551724,0.306451613,0.95,0.463414634
SM6,ar1->ar5,0.158482143,0.04,0.125,0.060606061
SM6,ar3->ar5,0.084821429,0.133333333,0.5,0.210526316
SM6,ar4->ar5,0.15625,0.076923077,0.25,0.117647059
SM6,ar6->ar5,0.084821429,,0,
SM6,ar1->ar6,0.628682171,0.428571429,0.2,0.272727273
SM6,ar3->ar6,0.451162791,1,0.066666667,0.125
SM6,ar4->ar6,0.658914729,,0,
SM6,ar5->ar6,0.466666667,0.14,0.933333333,0.243478261
SM7,ar3->ar1,0.542162698,0.25,0.111111111,0.153846154
SM7,ar4->ar1,0.477678571,0,0,
SM7,ar5->ar1,0.453373016,0.06779661,0.888888889,0.125984252
SM7,ar6->ar1,0.613095238,0.2,0.333333333,0.25
SM7,ar1->ar3,0.454545455,0,0,
SM7,ar4->ar3,0.738636364,0.285714286,0.75,0.413793103
SM7,ar5->ar3,0.279545455,0.05,0.25,0.083333333
SM7,ar6->ar3,0.764772727,0.269230769,0.875,0.411764706
SM7,ar1->ar4,0.602298851,0.32,0.4,0.355555556
SM7,ar3->ar4,0.538505747,0.5,0.1,0.166666667
SM7,ar5->ar4,0.211206897,0.064935065,0.25,0.103092784
SM7,ar6->ar4,0.646551724,0.357142857,0.5,0.416666667
SM7,ar1->ar5,0.535714286,0.235294118,1,0.380952381
SM7,ar3->ar5,0.375,0.176470588,0.75,0.285714286
SM7,ar4->ar5,0.214285714,0.08,0.25,0.121212121
SM7,ar6->ar5,0.142857143,0,0,
SM7,ar1->ar6,0.531782946,0.25,0.133333333,0.173913043
SM7,ar3->ar6,0.531782946,0.25,0.133333333,0.173913043
SM7,ar4->ar6,0.570930233,0.375,0.2,0.260869565
SM7,ar5->ar6,0.405813953,0.12371134,0.8,0.214285714
