Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ar1-ar3,SM1,SM2,0.083264517,0,3,0,5,N
ar1-ar3,SM1,SM3,0.317310508,3,0,1,4,N
ar1-ar3,SM1,SM4,0.083264517,3,0,3,2,N
ar1-ar3,SM1,SM5,0.157299207,3,0,2,3,N
ar1-ar3,SM1,SM6,0.083264517,3,0,3,2,N
ar1-ar3,SM1,SM7,0.083264517,0,3,0,5,N
ar1-ar3,SM1,SM8,0.157299207,3,0,2,3,N
ar1-ar3,SM2,SM3,0.045500264,0,0,4,4,Y
ar1-ar3,SM2,SM4,0.014305878,0,0,6,2,Y
ar1-ar3,SM2,SM5,0.025347319,0,0,5,3,Y
ar1-ar3,SM2,SM6,0.014305878,0,0,6,2,Y
ar1-ar3,SM2,SM7,,0,0,0,8,N
ar1-ar3,SM2,SM8,0.025347319,0,0,5,3,Y
ar1-ar3,SM3,SM4,0.157299207,4,0,2,2,N
ar1-ar3,SM3,SM5,0.563702862,3,1,2,2,N
ar1-ar3,SM3,SM6,0.157299207,4,0,2,2,N
ar1-ar3,SM3,SM7,0.045500264,0,4,0,4,Y
ar1-ar3,SM3,SM8,0.563702862,3,1,2,2,N
ar1-ar3,SM4,SM5,0.317310508,5,1,0,2,N
ar1-ar3,SM4,SM6,,6,0,0,2,N
ar1-ar3,SM4,SM7,0.014305878,0,6,0,2,Y
ar1-ar3,SM4,SM8,0.317310508,5,1,0,2,N
ar1-ar3,SM5,SM6,0.317310508,5,0,1,2,N
ar1-ar3,SM5,SM7,0.025347319,0,5,0,3,Y
ar1-ar3,SM5,SM8,,5,0,0,3,N
ar1-ar3,SM6,SM7,0.014305878,0,6,0,2,Y
ar1-ar3,SM6,SM8,0.317310508,5,1,0,2,N
ar1-ar3,SM7,SM8,0.025347319,0,0,5,3,Y
ar1-ar4,SM1,SM2,0.014305878,3,0,6,11,Y
ar1-ar4,SM1,SM3,0.317310508,3,0,1,16,N
ar1-ar4,SM1,SM4,0.002699796,3,0,9,8,Y
ar1-ar4,SM1,SM5,0.083264517,0,3,0,17,N
ar1-ar4,SM1,SM6,0.000311491,3,0,13,4,Y
ar1-ar4,SM1,SM7,0.095580705,1,2,7,10,N
ar1-ar4,SM1,SM8,0.014305878,3,0,6,11,Y
ar1-ar4,SM2,SM3,0.058781721,3,6,1,10,N
ar1-ar4,SM2,SM4,0.083264517,9,0,3,8,N
ar1-ar4,SM2,SM5,0.002699796,0,9,0,11,Y
ar1-ar4,SM2,SM6,0.008150972,9,0,7,4,Y
ar1-ar4,SM2,SM7,0.763024601,3,6,5,6,N
ar1-ar4,SM2,SM8,1,7,2,2,9,N
ar1-ar4,SM3,SM4,0.004677735,4,0,8,8,Y
ar1-ar4,SM3,SM5,0.045500264,0,4,0,16,Y
ar1-ar4,SM3,SM6,0.000532006,4,0,12,4,Y
ar1-ar4,SM3,SM7,0.205903211,1,3,7,9,N
ar1-ar4,SM3,SM8,0.025347319,4,0,5,11,Y
ar1-ar4,SM4,SM5,0.000532006,0,12,0,8,Y
ar1-ar4,SM4,SM6,0.045500264,12,0,4,4,Y
ar1-ar4,SM4,SM7,0.248213079,4,8,4,4,N
ar1-ar4,SM4,SM8,0.083264517,9,3,0,8,N
ar1-ar4,SM5,SM6,6.33E-05,0,0,16,4,Y
ar1-ar4,SM5,SM7,0.004677735,0,0,8,12,Y
ar1-ar4,SM5,SM8,0.002699796,0,0,9,11,Y
ar1-ar4,SM6,SM7,0.020921335,6,10,2,2,Y
ar1-ar4,SM6,SM8,0.008150972,9,7,0,4,Y
ar1-ar4,SM7,SM8,0.781511295,2,6,7,5,N
ar1-ar5,SM1,SM2,0.157299207,1,2,0,5,N
ar1-ar5,SM1,SM3,,3,0,0,5,N
ar1-ar5,SM1,SM4,0.317310508,2,1,0,5,N
ar1-ar5,SM1,SM5,0.157299207,1,2,0,5,N
ar1-ar5,SM1,SM6,0.157299207,1,2,0,5,N
ar1-ar5,SM1,SM7,0.025347319,3,0,5,0,Y
ar1-ar5,SM1,SM8,0.157299207,1,2,0,5,N
ar1-ar5,SM2,SM3,0.157299207,1,0,2,5,N
ar1-ar5,SM2,SM4,0.317310508,1,0,1,6,N
