Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ar1-ar3,SM1,UM1,0.045500264,3,0,4,1,Y
ar1-ar3,SM1,UM2,0.045500264,3,0,4,1,Y
ar1-ar3,SM1,UM3,0.083264517,3,0,3,2,N
ar1-ar3,SM1,UM4,0.083264517,3,0,3,2,N
ar1-ar3,SM2,UM1,0.008150972,0,0,7,1,Y
ar1-ar3,SM2,UM2,0.008150972,0,0,7,1,Y
ar1-ar3,SM2,UM3,0.014305878,0,0,6,2,Y
ar1-ar3,SM2,UM4,0.014305878,0,0,6,2,Y
ar1-ar3,SM3,UM1,0.083264517,4,0,3,1,N
ar1-ar3,SM3,UM2,0.083264517,4,0,3,1,N
ar1-ar3,SM3,UM3,0.157299207,4,0,2,2,N
ar1-ar3,SM3,UM4,0.157299207,4,0,2,2,N
ar1-ar3,SM4,UM1,0.317310508,6,0,1,1,N
ar1-ar3,SM4,UM2,0.317310508,6,0,1,1,N
ar1-ar3,SM4,UM3,,6,0,0,2,N
ar1-ar3,SM4,UM4,,6,0,0,2,N
ar1-ar3,SM5,UM1,0.157299207,5,0,2,1,N
ar1-ar3,SM5,UM2,0.157299207,5,0,2,1,N
ar1-ar3,SM5,UM3,0.317310508,5,0,1,2,N
ar1-ar3,SM5,UM4,0.317310508,5,0,1,2,N
ar1-ar3,SM6,UM1,0.317310508,6,0,1,1,N
ar1-ar3,SM6,UM2,0.317310508,6,0,1,1,N
ar1-ar3,SM6,UM3,,6,0,0,2,N
ar1-ar3,SM6,UM4,,6,0,0,2,N
ar1-ar3,SM7,UM1,0.008150972,0,0,7,1,Y
ar1-ar3,SM7,UM2,0.008150972,0,0,7,1,Y
ar1-ar3,SM7,UM3,0.014305878,0,0,6,2,Y
ar1-ar3,SM7,UM4,0.014305878,0,0,6,2,Y
ar1-ar3,SM8,UM1,0.157299207,5,0,2,1,N
ar1-ar3,SM8,UM2,0.157299207,5,0,2,1,N
ar1-ar3,SM8,UM3,0.317310508,5,0,1,2,N
ar1-ar3,SM8,UM4,0.317310508,5,0,1,2,N
ar1-ar4,SM1,UM1,0.000311491,3,0,13,4,Y
ar1-ar4,SM1,UM2,0.000311491,3,0,13,4,Y
ar1-ar4,SM1,UM3,0.000911119,3,0,11,6,Y
ar1-ar4,SM1,UM4,0.000311491,3,0,13,4,Y
ar1-ar4,SM2,UM1,0.008150972,9,0,7,4,Y
ar1-ar4,SM2,UM2,0.008150972,9,0,7,4,Y
ar1-ar4,SM2,UM3,0.025347319,9,0,5,6,Y
ar1-ar4,SM2,UM4,0.008150972,9,0,7,4,Y
ar1-ar4,SM3,UM1,0.000532006,4,0,12,4,Y
ar1-ar4,SM3,UM2,0.000532006,4,0,12,4,Y
ar1-ar4,SM3,UM3,0.001565402,4,0,10,6,Y
ar1-ar4,SM3,UM4,0.000532006,4,0,12,4,Y
ar1-ar4,SM4,UM1,0.045500264,12,0,4,4,Y
ar1-ar4,SM4,UM2,0.045500264,12,0,4,4,Y
ar1-ar4,SM4,UM3,0.157299207,12,0,2,6,N
ar1-ar4,SM4,UM4,0.045500264,12,0,4,4,Y
ar1-ar4,SM5,UM1,6.33E-05,0,0,16,4,Y
ar1-ar4,SM5,UM2,6.33E-05,0,0,16,4,Y
ar1-ar4,SM5,UM3,0.000182811,0,0,14,6,Y
