DataSet,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
ar1,UM1,UM2,,6,0,0,3,N
ar1,UM1,UM3,,6,0,0,3,N
ar1,UM1,UM4,0.317310508,6,0,1,2,N
ar1,UM2,UM3,,6,0,0,3,N
ar1,UM2,UM4,0.317310508,6,0,1,2,N
ar1,UM3,UM4,0.317310508,6,0,1,2,N
ar3,UM1,UM2,,7,0,0,1,N
ar3,UM1,UM3,0.317310508,6,1,0,1,N
ar3,UM1,UM4,0.317310508,6,1,0,1,N
ar3,UM2,UM3,0.317310508,6,1,0,1,N
ar3,UM2,UM4,0.317310508,6,1,0,1,N
ar3,UM3,UM4,,6,0,0,2,N
ar4,UM1,UM2,,16,0,0,4,N
ar4,UM1,UM3,0.157299207,14,2,0,4,N
ar4,UM1,UM4,,16,0,0,4,N
ar4,UM2,UM3,0.157299207,14,2,0,4,N
ar4,UM2,UM4,,16,0,0,4,N
ar4,UM3,UM4,0.157299207,14,0,2,4,N
ar5,UM1,UM2,,8,0,0,0,N
ar5,UM1,UM3,0.317310508,7,1,0,0,N
ar5,UM1,UM4,0.317310508,7,1,0,0,N
ar5,UM2,UM3,0.317310508,7,1,0,0,N
ar5,UM2,UM4,0.317310508,7,1,0,0,N
ar5,UM3,UM4,,7,0,0,1,N
ar6,UM1,UM2,0.317310508,11,0,1,3,N
ar6,UM1,UM3,0.083264517,8,3,0,4,N
ar6,UM1,UM4,0.563702862,9,2,1,3,N
ar6,UM2,UM3,0.045500264,8,4,0,3,Y
ar6,UM2,UM4,0.157299207,10,2,0,3,N
ar6,UM3,UM4,0.414216178,6,2,4,3,N
