models,Source->Target,AUC,P,R,F1
SM1,Zxing->Apache,0.466092687,0.619047619,0.265306122,0.371428571
SM1,Safe->Apache,0.640678146,0.701492537,0.479591837,0.56969697
SM1,Apache->Zxing,0.522980879,0.342182891,0.983050847,0.507658643
SM1,Safe->Zxing,0.586841788,0.380645161,0.5,0.432234432
SM1,Apache->Safe,0.686497326,0.558823529,0.863636364,0.678571429
SM1,Zxing->Safe,0.398395722,0.25,0.136363636,0.176470588
SM2,Zxing->Apache,0.391422194,0.263157895,0.051020408,0.085470085
SM2,Safe->Apache,0.697916667,0.69,0.704081633,0.696969697
SM2,Apache->Zxing,0.515169793,0.355555556,0.13559322,0.196319018
SM2,Safe->Zxing,0.609717112,0.455357143,0.43220339,0.443478261
SM2,Apache->Safe,0.715240642,0.75,0.409090909,0.529411765
SM2,Zxing->Safe,0.780080214,0.615384615,0.727272727,0.666666667
SM3,Zxing->Apache,0.599064626,0.712328767,0.530612245,0.608187135
SM3,Safe->Apache,0.606770833,0.714285714,0.357142857,0.476190476
SM3,Apache->Zxing,0.626259123,0.392405063,0.788135593,0.523943662
SM3,Safe->Zxing,0.575381507,0.36875,0.5,0.424460432
SM3,Apache->Safe,0.721925134,0.59375,0.863636364,0.703703704
SM3,Zxing->Safe,0.431818182,0.4,0.272727273,0.324324324
SM4,Zxing->Apache,0.471938776,0.457627119,0.275510204,0.343949045
SM4,Safe->Apache,0.773224915,0.703703704,0.775510204,0.737864078
SM4,Apache->Zxing,0.654939984,0.489361702,0.194915254,0.278787879
SM4,Safe->Zxing,0.641820978,0.46835443,0.313559322,0.375634518
SM4,Apache->Safe,0.723930481,0.8,0.363636364,0.5
SM4,Zxing->Safe,0.761363636,0.764705882,0.590909091,0.666666667
SM5,Zxing->Apache,0.318824405,0.375,0.091836735,0.147540984
SM5,Safe->Apache,0.678146259,0.694117647,0.602040816,0.644808743
SM5,Apache->Zxing,0.527082454,0.416666667,0.127118644,0.194805195
SM5,Safe->Zxing,0.566017251,0.413043478,0.322033898,0.361904762
SM5,Apache->Safe,0.655748663,0.588235294,0.454545455,0.512820513
SM5,Zxing->Safe,0.575534759,0.8,0.363636364,0.5
SM6,Zxing->Apache,0.734906463,0.62992126,0.816326531,0.711111111
SM6,Safe->Apache,0.760416667,0.680672269,0.826530612,0.746543779
SM6,Apache->Zxing,0.610501237,0.375,0.025423729,0.047619048
SM6,Safe->Zxing,0.641247964,0.442307692,0.194915254,0.270588235
SM6,Apache->Safe,0.779411765,1,0.227272727,0.37037037
SM6,Zxing->Safe,0.809491979,0.607142857,0.772727273,0.68
SM7,Zxing->Apache,0.70057398,0.688679245,0.744897959,0.715686275
SM7,Safe->Apache,0.742028061,0.735294118,0.765306122,0.75
SM7,Apache->Zxing,0.530430062,0.432432432,0.13559322,0.206451613
SM7,Safe->Zxing,0.504674588,0.307692308,0.169491525,0.218579235
SM7,Apache->Safe,0.644385027,0.875,0.318181818,0.466666667
SM7,Zxing->Safe,0.759358289,0.777777778,0.636363636,0.7
SM8,Zxing->Apache,0.673044218,0.597222222,0.43877551,0.505882353
SM8,Safe->Apache,0.778911565,0.724489796,0.724489796,0.724489796
SM8,Apache->Zxing,0.620694855,0.391304348,0.076271186,0.127659574
SM8,Safe->Zxing,0.650808251,0.403225806,0.211864407,0.277777778
SM8,Apache->Safe,0.804812834,0.888888889,0.363636364,0.516129032
SM8,Zxing->Safe,0.842914439,0.733333333,0.5,0.594594595
UM1,Apache,0.717261905,0.726315789,0.704081633,0.715025907
UM1,Zxing,0.641293202,0.378531073,0.56779661,0.454237288
UM1,Safe,0.779411765,0.64,0.727272727,0.680851064
UM2,Apache,0.760629252,0.736842105,0.714285714,0.725388601
UM2,Zxing,0.652979673,0.40201005,0.677966102,0.504731861
UM2,Safe,0.762032086,0.62962963,0.772727273,0.693877551
UM3,Apache,0.748405612,0.718309859,0.520408163,0.603550296
UM3,Safe,0.762032086,0.652173913,0.681818182,0.666666667
UM3,Zxing,0.6510646,0.410071942,0.483050847,0.443579767
UM4,Apache,0.775775935,0.796747967,0.784,0.790322581
UM4,Zxing,0.660926473,0.506437768,0.776315789,0.612987013
UM4,Safe,0.834224599,0.6875,0.814814815,0.745762712
