Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
Apache-Zxing,SM1,SM2,1.52E-23,16,100,0,2,Y
Apache-Zxing,SM1,SM3,1.62E-06,93,23,0,2,Y
Apache-Zxing,SM1,SM4,5.23E-22,23,93,0,2,Y
Apache-Zxing,SM1,SM5,9.20E-24,15,101,0,2,Y
Apache-Zxing,SM1,SM6,2.16E-26,3,113,0,2,Y
Apache-Zxing,SM1,SM7,1.52E-23,16,100,0,2,Y
Apache-Zxing,SM1,SM8,4.45E-25,9,107,0,2,Y
Apache-Zxing,SM2,SM3,1.71E-18,16,0,77,25,Y
Apache-Zxing,SM2,SM4,0.126630458,9,7,14,88,N
Apache-Zxing,SM2,SM5,0.73888268,11,5,4,98,N
Apache-Zxing,SM2,SM6,0.000311491,3,13,0,102,Y
Apache-Zxing,SM2,SM7,1,7,9,9,93,N
Apache-Zxing,SM2,SM8,0.052203635,6,10,3,99,N
Apache-Zxing,SM3,SM4,5.93E-17,23,70,0,25,Y
Apache-Zxing,SM3,SM5,1.03E-18,15,78,0,25,Y
Apache-Zxing,SM3,SM6,2.38E-21,3,90,0,25,Y
Apache-Zxing,SM3,SM7,1.71E-18,16,77,0,25,Y
Apache-Zxing,SM3,SM8,4.95E-20,9,84,0,25,Y
Apache-Zxing,SM4,SM5,0.102470435,7,16,8,87,N
Apache-Zxing,SM4,SM6,7.74E-06,3,20,0,95,Y
Apache-Zxing,SM4,SM7,0.108293656,10,13,6,89,N
Apache-Zxing,SM4,SM8,0.002837545,5,18,4,91,Y
Apache-Zxing,SM5,SM6,0.000532006,3,12,0,103,Y
Apache-Zxing,SM5,SM7,0.808365156,7,8,9,94,N
Apache-Zxing,SM5,SM8,0.083264517,6,9,3,100,N
Apache-Zxing,SM6,SM7,0.000311491,3,0,13,102,Y
Apache-Zxing,SM6,SM8,0.014305878,3,0,6,109,Y
Apache-Zxing,SM7,SM8,0.034808479,7,9,2,100,Y
Apache-Safe,SM1,SM2,0.001565402,9,10,0,3,Y
Apache-Safe,SM1,SM3,1,18,1,1,2,N
Apache-Safe,SM1,SM4,0.000911119,8,11,0,3,Y
Apache-Safe,SM1,SM5,0.002699796,10,9,0,3,Y
Apache-Safe,SM1,SM6,0.000182811,5,14,0,3,Y
Apache-Safe,SM1,SM7,0.000532006,7,12,0,3,Y
Apache-Safe,SM1,SM8,0.000911119,8,11,0,3,Y
Apache-Safe,SM2,SM3,0.001565402,9,0,10,3,Y
Apache-Safe,SM2,SM4,0.563702862,7,2,1,12,N
Apache-Safe,SM2,SM5,0.563702862,8,1,2,11,N
Apache-Safe,SM2,SM6,0.045500264,5,4,0,13,Y
Apache-Safe,SM2,SM7,0.157299207,7,2,0,13,N
Apache-Safe,SM2,SM8,0.563702862,7,2,1,12,N
Apache-Safe,SM3,SM4,0.000911119,8,11,0,3,Y
Apache-Safe,SM3,SM5,0.002699796,10,9,0,3,Y
Apache-Safe,SM3,SM6,0.000182811,5,14,0,3,Y
Apache-Safe,SM3,SM7,0.000532006,7,12,0,3,Y
Apache-Safe,SM3,SM8,0.000911119,8,11,0,3,Y
Apache-Safe,SM4,SM5,0.317310508,7,1,3,11,N
Apache-Safe,SM4,SM6,0.083264517,5,3,0,14,N
Apache-Safe,SM4,SM7,0.317310508,7,1,0,14,N
Apache-Safe,SM4,SM8,1,7,1,1,13,N
Apache-Safe,SM5,SM6,0.025347319,5,5,0,12,Y
Apache-Safe,SM5,SM7,0.083264517,7,3,0,12,N
Apache-Safe,SM5,SM8,0.157299207,8,2,0,12,N
Apache-Safe,SM6,SM7,0.157299207,5,0,2,15,N
Apache-Safe,SM6,SM8,0.083264517,5,0,3,14,N
Apache-Safe,SM7,SM8,0.317310508,7,0,1,14,N
Zxing-Apache,SM1,SM2,9.64E-05,1,25,4,68,Y
Zxing-Apache,SM1,SM3,8.87E-05,17,9,35,37,Y
Zxing-Apache,SM1,SM4,0.875896058,6,20,21,51,N
Zxing-Apache,SM1,SM5,0.001594994,3,23,6,66,Y
Zxing-Apache,SM1,SM6,5.81E-11,19,7,61,11,Y
Zxing-Apache,SM1,SM7,3.19E-09,18,8,55,17,Y
Zxing-Apache,SM1,SM8,0.017290281,9,17,34,38,Y
Zxing-Apache,SM2,SM3,4.81E-10,0,5,52,41,Y
Zxing-Apache,SM2,SM4,1.60E-05,3,2,24,69,Y
Zxing-Apache,SM2,SM5,0.045500264,5,0,4,89,Y
Zxing-Apache,SM2,SM6,3.22E-17,3,2,77,16,Y
