Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
Apache-Zxing,SM1,UM1,2.56E-12,67,49,0,2,Y
Apache-Zxing,SM1,UM2,1.97E-09,80,36,0,2,Y
Apache-Zxing,SM1,UM3,1.58E-14,57,59,0,2,Y
Apache-Zxing,SM1,UM4,1.54E-08,84,32,0,2,Y
Apache-Zxing,SM2,UM1,9.24E-13,16,0,51,51,Y
Apache-Zxing,SM2,UM2,1.24E-15,16,0,64,38,Y
Apache-Zxing,SM2,UM3,1.52E-10,16,0,41,61,Y
Apache-Zxing,SM2,UM4,1.63E-16,16,0,68,34,Y
Apache-Zxing,SM3,UM1,3.41E-07,67,26,0,25,Y
Apache-Zxing,SM3,UM2,0.000311491,80,13,0,25,Y
Apache-Zxing,SM3,UM3,1.97E-09,57,36,0,25,Y
Apache-Zxing,SM3,UM4,0.002699796,84,9,0,25,Y
Apache-Zxing,SM4,UM1,2.14E-10,21,2,46,49,Y
Apache-Zxing,SM4,UM2,2.92E-13,21,2,59,36,Y
Apache-Zxing,SM4,UM3,5.36E-07,17,6,40,55,Y
Apache-Zxing,SM4,UM4,3.85E-14,21,2,63,32,Y
Apache-Zxing,SM5,UM1,5.55E-13,15,0,52,51,Y
Apache-Zxing,SM5,UM2,7.49E-16,15,0,65,38,Y
Apache-Zxing,SM5,UM3,9.13E-11,15,0,42,61,Y
Apache-Zxing,SM5,UM4,9.85E-17,15,0,69,34,Y
Apache-Zxing,SM6,UM1,1.24E-15,3,0,64,51,Y
Apache-Zxing,SM6,UM2,1.71E-18,3,0,77,38,Y
Apache-Zxing,SM6,UM3,2.00E-13,3,0,54,61,Y
Apache-Zxing,SM6,UM4,2.26E-19,3,0,81,34,Y
Apache-Zxing,SM7,UM1,9.24E-13,16,0,51,51,Y
Apache-Zxing,SM7,UM2,1.24E-15,16,0,64,38,Y
Apache-Zxing,SM7,UM3,9.84E-10,14,2,43,59,Y
Apache-Zxing,SM7,UM4,1.63E-16,16,0,68,34,Y
Apache-Zxing,SM8,UM1,2.62E-14,9,0,58,51,Y
Apache-Zxing,SM8,UM2,3.57E-17,9,0,71,38,Y
Apache-Zxing,SM8,UM3,4.26E-12,9,0,48,61,Y
Apache-Zxing,SM8,UM4,4.71E-18,9,0,75,34,Y
Apache-Safe,SM1,UM1,0.083264517,16,3,0,3,N
Apache-Safe,SM1,UM2,0.157299207,17,2,0,3,N
Apache-Safe,SM1,UM3,0.045500264,15,4,0,3,Y
Apache-Safe,SM1,UM4,0.157299207,17,2,0,3,N
Apache-Safe,SM2,UM1,0.008150972,9,0,7,6,Y
Apache-Safe,SM2,UM2,0.004677735,9,0,8,5,Y
Apache-Safe,SM2,UM3,0.014305878,9,0,6,7,Y
Apache-Safe,SM2,UM4,0.004677735,9,0,8,5,Y
Apache-Safe,SM3,UM1,0.083264517,16,3,0,3,N
Apache-Safe,SM3,UM2,0.157299207,17,2,0,3,N
Apache-Safe,SM3,UM3,0.045500264,15,4,0,3,Y
Apache-Safe,SM3,UM4,0.157299207,17,2,0,3,N
Apache-Safe,SM4,UM1,0.004677735,8,0,8,6,Y
Apache-Safe,SM4,UM2,0.002699796,8,0,9,5,Y
Apache-Safe,SM4,UM3,0.008150972,8,0,7,7,Y
Apache-Safe,SM4,UM4,0.002699796,8,0,9,5,Y
Apache-Safe,SM5,UM1,0.014305878,10,0,6,6,Y
Apache-Safe,SM5,UM2,0.008150972,10,0,7,5,Y
Apache-Safe,SM5,UM3,0.058781721,9,1,6,6,N
Apache-Safe,SM5,UM4,0.008150972,10,0,7,5,Y
Apache-Safe,SM6,UM1,0.000911119,5,0,11,6,Y
Apache-Safe,SM6,UM2,0.000532006,5,0,12,5,Y
Apache-Safe,SM6,UM3,0.001565402,5,0,10,7,Y
Apache-Safe,SM6,UM4,0.000532006,5,0,12,5,Y
Apache-Safe,SM7,UM1,0.002699796,7,0,9,6,Y
Apache-Safe,SM7,UM2,0.001565402,7,0,10,5,Y
Apache-Safe,SM7,UM3,0.004677735,7,0,8,7,Y
Apache-Safe,SM7,UM4,0.001565402,7,0,10,5,Y
Apache-Safe,SM8,UM1,0.004677735,8,0,8,6,Y
Apache-Safe,SM8,UM2,0.002699796,8,0,9,5,Y
Apache-Safe,SM8,UM3,0.008150972,8,0,7,7,Y
Apache-Safe,SM8,UM4,0.002699796,8,0,9,5,Y
Zxing-Apache,SM1,UM1,2.17E-08,18,8,51,21,Y
Zxing-Apache,SM1,UM2,1.34E-08,18,8,52,20,Y
Zxing-Apache,SM1,UM3,0.000265707,15,11,36,36,Y
Zxing-Apache,SM1,UM4,4.67E-09,19,7,52,20,Y
Zxing-Apache,SM2,UM1,4.61E-14,1,4,68,25,Y
Zxing-Apache,SM2,UM2,2.79E-14,1,4,69,24,Y
Zxing-Apache,SM2,UM3,3.85E-10,1,4,50,43,Y
Zxing-Apache,SM2,UM4,1.69E-14,1,4,70,23,Y
Zxing-Apache,SM3,UM1,9.62E-05,51,1,18,28,Y
Zxing-Apache,SM3,UM2,5.70E-05,51,1,19,27,Y
Zxing-Apache,SM3,UM3,0.841480581,39,13,12,34,N
Zxing-Apache,SM3,UM4,3.38E-05,51,1,20,26,Y
Zxing-Apache,SM4,UM1,2.34E-07,15,12,54,17,Y
Zxing-Apache,SM4,UM2,9.63E-08,16,11,54,17,Y
Zxing-Apache,SM4,UM3,0.003609347,5,22,46,25,Y
Zxing-Apache,SM4,UM4,3.80E-08,17,10,54,17,Y
Zxing-Apache,SM5,UM1,3.06E-12,2,7,67,22,Y
Zxing-Apache,SM5,UM2,1.87E-12,2,7,68,21,Y
Zxing-Apache,SM5,UM3,3.49E-08,1,8,50,39,Y
Zxing-Apache,SM5,UM4,5.70E-13,3,6,68,21,Y
Zxing-Apache,SM6,UM1,0.007632882,66,14,3,15,Y
Zxing-Apache,SM6,UM2,0.012419331,67,13,3,15,Y
Zxing-Apache,SM6,UM3,4.46E-07,49,31,2,16,Y
Zxing-Apache,SM6,UM4,0.020136752,68,12,3,15,Y
Zxing-Apache,SM7,UM1,0.248213079,65,8,4,21,N
Zxing-Apache,SM7,UM2,0.405380556,65,8,5,20,N
Zxing-Apache,SM7,UM3,7.10E-06,50,23,1,24,Y
Zxing-Apache,SM7,UM4,0.563702862,66,7,5,20,N
Zxing-Apache,SM8,UM1,3.94E-05,36,7,33,22,Y
Zxing-Apache,SM8,UM2,2.48E-05,36,7,34,21,Y
Zxing-Apache,SM8,UM3,0.23818495,24,19,27,28,N
Zxing-Apache,SM8,UM4,9.55E-06,37,6,34,21,Y
