DataSet,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
Apache,UM1,UM2,0.317310508,69,0,1,28,N
Apache,UM1,UM3,5.70E-05,50,19,1,28,Y
Apache,UM1,UM4,0.317310508,68,1,3,26,N
Apache,UM2,UM3,3.38E-05,50,20,1,27,Y
Apache,UM2,UM4,0.563702862,69,1,2,26,N
Apache,UM3,UM4,2.01E-05,50,1,21,26,Y
Zxing,UM1,UM2,0.000789113,66,1,14,37,Y
Zxing,UM1,UM3,0.001565402,57,10,0,51,Y
Zxing,UM1,UM4,9.62E-05,66,1,18,33,Y
Zxing,UM2,UM3,4.22E-06,56,24,1,37,Y
Zxing,UM2,UM4,0.102470435,79,1,5,33,N
Zxing,UM3,UM4,5.34E-07,56,1,28,33,Y
Safe,UM1,UM2,0.317310508,16,0,1,5,N
Safe,UM1,UM3,0.317310508,15,1,0,6,N
Safe,UM1,UM4,0.317310508,16,0,1,5,N
Safe,UM2,UM3,0.157299207,15,2,0,5,N
Safe,UM2,UM4,,17,0,0,5,N
Safe,UM3,UM4,0.157299207,15,0,2,5,N
